,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,35.1,- - -,166.0,52.0,12.0,0.0,27.0,22.0,5.0,16.0,6.0,0.0,33.0,0.347,0.412,0.534,0.398,8.41,4.08,2.06,1.27,19.9,9.6,10.2,- - -,1.92,0.42,67.2,4.47,3.63
1,Total,vs R,57.1,- - -,259.0,70.0,17.0,0.0,31.0,31.0,4.0,23.0,1.0,4.0,50.0,0.302,0.376,0.429,0.355,7.85,3.61,2.17,0.63,19.3,8.9,10.4,- - -,1.62,0.371,72.2,3.71,4.02
