,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,138.1,- - -,610.0,143.0,23.0,2.0,57.0,55.0,16.0,52.0,3.0,7.0,121.0,0.26,0.332,0.399,0.319,7.87,3.38,2.33,1.04,19.8,8.5,11.3,- - -,1.41,0.307,80.7,4.18,4.39
1,Total,vs R,170.2,- - -,654.0,105.0,25.0,1.0,50.0,49.0,17.0,44.0,0.0,8.0,222.0,0.174,0.242,0.308,0.243,11.71,2.32,5.05,0.9,33.9,6.7,27.2,- - -,0.87,0.242,80.3,2.75,2.67
