,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,8.2,4.15,38.0,9.0,2.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,8.0,0.257,0.316,0.4,0.311,8.31,3.12,2.67,1.04,21.1,7.9,13.2,0.257,1.38,0.308,75.5,3.85,4.75
1,Total,Away,4.1,12.46,27.0,8.0,2.0,0.0,6.0,6.0,1.0,5.0,0.0,1.0,7.0,0.381,0.519,0.619,0.484,14.54,10.38,1.4,2.08,25.9,18.5,7.4,0.381,3.0,0.539,63.5,7.08,6.81
