,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,30.2,- - -,122.0,27.0,9.0,0.0,13.0,12.0,2.0,9.0,2.0,0.0,24.0,0.239,0.298,0.382,0.287,7.04,2.64,2.67,0.59,19.7,7.4,12.3,- - -,1.17,0.287,69.3,3.32,3.87
1,Total,vs R,28.0,- - -,125.0,29.0,6.0,0.0,15.0,15.0,6.0,9.0,3.0,4.0,22.0,0.259,0.336,0.473,0.341,7.07,2.89,2.44,1.93,17.6,7.2,10.4,- - -,1.36,0.274,80.4,5.77,4.46
