,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,6.0,- - -,25.0,7.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,0.292,0.32,0.583,0.382,6.0,0.0,4.0,3.0,16.0,0.0,16.0,- - -,1.17,0.278,96.2,6.66,4.25
1,Total,vs R,16.1,- - -,82.0,27.0,4.0,0.0,16.0,15.0,6.0,4.0,0.0,2.0,11.0,0.355,0.402,0.662,0.443,6.06,2.2,2.75,3.31,13.4,4.9,8.5,- - -,1.9,0.356,69.1,7.69,4.84
