,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,4.1,- - -,16.0,4.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,0.25,0.25,0.625,0.358,6.23,0.0,3.0,2.08,18.8,0.0,18.8,- - -,0.92,0.25,-38.5,4.77,4.44
1,Total,vs R,11.1,- - -,46.0,7.0,2.0,0.0,5.0,5.0,2.0,6.0,0.0,0.0,19.0,0.175,0.283,0.375,0.29,15.09,4.76,3.17,1.59,41.3,13.0,28.3,- - -,1.15,0.263,78.4,3.69,3.29
