,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,138.0,- - -,571.0,118.0,21.0,4.0,41.0,33.0,5.0,30.0,1.0,22.0,120.0,0.227,0.303,0.32,0.28,7.83,1.96,4.0,0.33,21.0,5.3,15.8,- - -,1.07,0.287,79.1,2.98,3.19
1,Total,vs R,182.2,- - -,800.0,192.0,42.0,4.0,99.0,92.0,20.0,69.0,13.0,10.0,178.0,0.266,0.34,0.428,0.329,8.77,3.4,2.58,0.99,22.3,8.6,13.6,- - -,1.43,0.329,70.8,3.89,3.86
