,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,550.2,2.89,2295.0,465.0,96.0,13.0,197.0,177.0,35.0,203.0,9.0,29.0,512.0,0.225,0.306,0.341,0.288,8.37,3.32,2.52,0.57,22.3,8.9,13.5,0.225,1.21,0.284,77.2,3.35,3.92
1,Total,Away,561.0,4.2,2440.0,564.0,103.0,19.0,276.0,262.0,64.0,237.0,9.0,21.0,545.0,0.259,0.34,0.417,0.331,8.74,3.8,2.3,1.03,22.3,9.7,12.6,0.259,1.43,0.318,74.6,4.03,3.94
