,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,37.2,- - -,160.0,33.0,10.0,0.0,20.0,19.0,7.0,13.0,3.0,1.0,34.0,0.226,0.297,0.448,0.311,8.12,3.11,2.62,1.67,21.3,8.1,13.1,- - -,1.22,0.248,72.6,4.88,4.25
1,Total,vs R,41.2,- - -,168.0,35.0,8.0,0.0,6.0,5.0,0.0,9.0,0.0,3.0,38.0,0.224,0.28,0.276,0.25,8.21,1.94,4.22,0.0,22.6,5.4,17.3,- - -,1.06,0.297,87.2,2.2,3.57
