,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,10.1,2.61,46.0,9.0,1.0,2.0,3.0,3.0,0.0,6.0,0.0,0.0,6.0,0.225,0.326,0.35,0.299,5.23,5.23,1.0,0.0,13.0,13.0,0.0,0.225,1.45,0.265,80.0,3.74,5.98
1,Total,Away,9.0,14.0,49.0,17.0,1.0,1.0,15.0,14.0,5.0,5.0,1.0,0.0,5.0,0.386,0.449,0.795,0.506,5.0,5.0,1.0,5.0,10.2,10.2,0.0,0.386,2.44,0.353,46.7,10.94,6.66
