,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,12.2,- - -,63.0,11.0,1.0,0.0,13.0,13.0,3.0,12.0,1.0,3.0,11.0,0.229,0.413,0.447,0.375,7.82,8.53,0.92,2.13,17.5,19.1,-1.6,- - -,1.82,0.235,59.6,8.05,7.32
1,Total,vs R,19.2,- - -,79.0,19.0,5.0,1.0,9.0,9.0,6.0,3.0,0.0,0.0,26.0,0.25,0.278,0.587,0.357,11.9,1.37,8.67,2.75,32.9,3.8,29.1,- - -,1.12,0.296,95.6,4.94,3.58
