,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,197.1,- - -,855.0,197.0,39.0,4.0,92.0,86.0,28.0,78.0,9.0,7.0,168.0,0.256,0.331,0.43,0.325,7.66,3.56,2.15,1.28,19.7,9.1,10.5,- - -,1.39,0.294,78.3,4.59,4.67
1,Total,vs R,226.2,- - -,903.0,178.0,37.0,2.0,100.0,93.0,25.0,48.0,2.0,9.0,288.0,0.21,0.262,0.351,0.265,11.44,1.91,6.0,0.99,31.9,5.3,26.6,- - -,1.0,0.287,67.5,2.8,2.84
