,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,11.0,2.0,10.0,5.49,23.0,11.0,0.0,0.0,0.0,0.0,1.0,78.2,366.0,108.0,56.0,48.0,9.0,23.0,5.0,5.0,1.0,0.0,49.0,37.0,172.85,5.61,2.63,2.13,1.03,13.4,6.3,7.1,0.32,1.67,0.354,64.8,144.0,115.0,4.44
1,2018-08-22,SFG,@NYM,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,17.5,6.0,0.0,4.0,3.0,14.8,0.0,14.8,0.259,1.17,0.238,71.4,78.0,160.0,6.16
2,2018-08-15,SFG,@LAD,0.0,0.0,1.0,6.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,7.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0, ,-0.7249999999999999,0.0,13.5,0.0,0.0,0.0,28.6,-28.6,0.4,3.0,0.4,75.0,175.0,199.0,7.66
3,2016-07-01,ATL,MIA,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0, ,3.9,9.0,4.5,2.0,0.0,20.0,10.0,10.0,0.333,2.0,0.429,50.0,217.0,66.0,2.65
4,2016-06-15,ATL,CIN,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,4.0,0.571,25.0,651.0,79.0,3.15
5,2016-06-12,ATL,CHC,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,10.0,5.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0, ,-6.7250000000000005,0.0,13.5,0.0,0.0,0.0,20.0,-20.0,0.625,5.25,0.625,42.9,651.0,189.0,7.65
6,2016-06-06,ATL,@SDP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,4.699999999999999,5.4,0.0,1.0,0.0,14.3,0.0,14.3,0.286,1.2,0.333,100.0,0.0,49.0,1.95
7,2016-05-22,ATL,@PHI,1.0,0.0,1.0,5.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,7.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,39.0,5.45,1.8,1.8,1.0,1.8,4.0,4.0,0.0,0.318,1.6,0.3,81.4,130.0,177.0,7.15
8,2015-10-02,SDP,@LAD,1.0,0.0,1.0,6.23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,22.0,8.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,29.0,8.025,6.23,4.15,1.5,0.0,13.6,9.1,4.6,0.4,2.31,0.471,40.0,167.0,82.0,3.13
9,2015-09-19,SDP,@COL,0.0,0.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, ,8.5,13.5,0.0,3.0,0.0,27.3,0.0,27.3,0.455,2.5,0.625,80.0,121.0,4.0,0.13
10,2012-09-21,SDP,@SFG,1.0,0.0,1.0,4.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,23.0,7.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,39.0,8.825,6.23,8.31,0.75,0.0,13.0,17.4,-4.4,0.368,2.54,0.438,81.8,114.0,119.0,4.48
11,2012-09-08,SDP,ARI,1.0,0.0,1.0,23.14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1,15.0,8.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.2749999999999986,7.71,0.0,2.0,11.57,13.3,0.0,13.3,0.533,3.43,0.5,52.6,636.0,476.0,18.09
12,2012-08-27,SDP,ATL,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,68.0,24.3,6.0,3.0,2.0,0.0,19.1,9.5,9.5,0.158,0.83,0.2,100.0,0.0,74.0,2.76
13,2018-08-17,SFG,@CIN,1.0,0.0,0.0,2.08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,21.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,43.0,10.625,4.15,2.08,2.0,0.0,9.5 %,4.8 %,4.8 %,0.45,2.31,0.5,90.0 %,54.0,75.0,2.93
14,2018-08-11,SFG,PIT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, ,17.25,5.4,0.0,3.0,0.0,17.7 %,0.0 %,17.7 %,0.118,0.4,0.143,100.0 %,0.0,50.0,1.96
15,2016-06-29,ATL,CLE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,2.25,0.0,0.0,0.0,0.0,0.0 %,0.0 %,0.0 %,0.25,1.0,0.25,100.0 %,0.0,79.0,3.15
16,2016-06-13,ATL,CIN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,9.25,9.0,0.0,1.0,0.0,33.3 %,0.0 %,33.3 %,0.0,0.0,0.0,100.0 %,0.0,29.0,1.15
17,2016-06-07,ATL,@SDP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,9.7,5.4,0.0,1.0,0.0,20.0 %,0.0 %,20.0 %,0.0,0.0,0.0,100.0 %,0.0,49.0,1.95
18,2016-05-25,ATL,MIL,0.0,0.0,1.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,5.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0, ,7.2,2.25,6.75,0.33,0.0,5.3 %,15.8 %,-10.5 %,0.313,2.0,0.333,87.5 %,54.0,122.0,4.9
19,2016-04-22,ATL,NYM,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,4.75,0.0,0.0,0.0,0.0,0.0 %,0.0 %,0.0 %,0.25,1.0,0.25,66.7 %,72.0,79.0,3.15
