,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,271.2,- - -,1117.0,266.0,59.0,5.0,129.0,124.0,33.0,59.0,0.0,5.0,217.0,0.253,0.297,0.418,0.309,7.19,1.95,3.68,1.09,19.4,5.3,14.1,- - -,1.2,0.29,70.8,3.83,4.09
1,Total,vs R,248.0,- - -,1032.0,236.0,42.0,3.0,105.0,100.0,38.0,64.0,3.0,14.0,244.0,0.247,0.306,0.423,0.315,8.85,2.32,3.81,1.38,23.6,6.2,17.4,- - -,1.21,0.295,80.1,4.11,3.83
