,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,416.1,- - -,1705.0,378.0,63.0,7.0,140.0,127.0,36.0,115.0,5.0,7.0,439.0,0.239,0.294,0.358,0.286,9.49,2.49,3.82,0.78,25.8,6.7,19.0,- - -,1.18,0.309,80.1,3.04,3.3
1,Total,vs R,446.1,- - -,1754.0,347.0,60.0,2.0,144.0,132.0,38.0,102.0,7.0,6.0,516.0,0.211,0.262,0.326,0.256,10.4,2.06,5.06,0.77,29.4,5.8,23.6,- - -,1.01,0.283,77.4,2.67,2.82
