,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,0.2,- - -,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.333,0.5,0.333,0.392,0.0,13.5,0.0,0.0,0.0,25.0,-25.0,- - -,3.0,0.333,50.0,7.66,10.14
1,Total,vs R,1.1,- - -,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.2,0.429,0.4,0.384,6.75,0.0,1.0,0.0,14.3,0.0,14.3,- - -,0.75,0.25,66.7,6.16,7.4
