"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","MIA @ WSH",".66","7.37","29.13","5.79","3.73","1.22",".12",".72","1.73","8.99","30.71","49.24","28.92","3137"
"Carlos Carrasco","Indians","BAL @ CLE",".58","6.60","26.27","5.49","3.44","1.13",".09",".84","1.42","8.59","27.83","44.78","25.84","6632"
"Aaron Nola","Phillies","NYM @ PHI",".38","6.36","25.96","5.39","3.55","1.02",".10",".72","1.96","7.54","23.78","39.47","22.07","16149"
"Robbie Ray","Diamondbacks","ARI @ SD",".40","5.99","25.31","5.07","3.03","1.00",".11",".92","2.81","8.34","23.17","39.51","21.92","11486"
"Noah Syndergaard","Mets","NYM @ PHI",".35","6.31","26.01","5.89","3.91","1.07",".15",".76","1.77","7.34","22.34","37.77","20.81","11762"
"Charlie Morton","Astros","HOU @ OAK",".43","6.16","26.35","5.24","3.16","1.27",".11",".70","3.17","6.67","19.77","35.06","18.66","4676"
"Jack Flaherty","Cardinals","MIL @ STL",".34","6.05","25.14","5.29","3.35",".97",".07",".90","2.20","6.64","20.26","34.49","18.79","17479"
"Freddy Peralta","Brewers","MIL @ STL",".35","5.63","24.42","4.85","3.19",".95",".07",".63","3.25","6.75","18.83","33.42","17.87","18679"
"Sean Newcomb","Braves","COL @ ATL",".36","6.03","26.07","5.39","3.49","1.08",".12",".71","3.18","6.46","18.46","33.42","17.47","16943"
"Cole Hamels","Cubs","CHC @ PIT",".42","6.45","27.28","6.11","4.14","1.19",".16",".62","2.48","5.52","18.01","32.51","16.89","4972"
"Jakob Junis","Royals","KC @ CWS",".35","5.87","24.91","5.96","3.77",".98",".21","1.00","1.91","6.12","17.53","31.02","16.35","13619"
"James Shields","White Sox","KC @ CWS",".37","6.18","26.05","5.81","3.49","1.07",".16","1.08","2.30","5.58","17.20","30.67","15.94","7059"
"Kyle Gibson","Twins","DET @ MIN",".38","6.10","25.76","6.27","4.09","1.29",".15",".74","1.76","5.43","17.05","30.47","15.80","10123"
"Lance Lynn","Yankees","TOR @ NYY",".37","5.92","25.54","5.43","3.29","1.07",".05","1.00","2.89","5.67","16.49","30.15","15.48","2520"
"Joey Lucchesi","Padres","ARI @ SD",".29","5.46","23.38","5.21","3.26","1.06",".12",".77","2.31","5.48","15.80","28.07","14.72","19320"
"Matt Boyd","Tigers","DET @ MIN",".33","5.79","25.00","6.02","3.63","1.38",".12",".90","2.15","5.42","15.30","28.21","14.30","15440"
"Anthony DeSclafani","Reds","SF @ CIN",".35","5.89","24.86","6.10","3.74","1.23",".09","1.04","1.63","5.00","15.53","27.84","14.26","13050"
"Brian Johnson","Red Sox","TB @ BOS",".40","5.72","24.52","6.17","4.17","1.21",".16",".64","1.90","4.88","14.90","27.49","13.87","14272"
"Kyle Freeland","Rockies","COL @ ATL",".35","5.98","25.82","6.38","4.13","1.42",".14",".69","2.15","4.80","14.48","27.39","13.53","16256"
"Walker Buehler","Dodgers","LAD @ SEA",".34","5.57","24.29","5.99","3.86","1.12",".10",".91","2.18","5.30","14.50","27.10","13.62","19374"
"Wade LeBlanc","Mariners","LAD @ SEA",".33","5.74","24.44","6.10","3.44","1.36",".09","1.21","1.62","4.62","13.80","25.28","12.64","5221"
"Marcus Stroman","Blue Jays","TOR @ NYY",".31","5.75","25.00","6.17","4.00","1.15",".09",".93","2.17","4.51","13.06","25.12","12.16","13431"
"Trevor Williams","Pirates","CHC @ PIT",".32","5.98","25.61","6.27","4.26","1.27",".13",".61","1.99","3.78","12.97","24.75","11.87","16977"
"Ryne Stanek","Rays","TB @ BOS",".26","5.21","23.40","5.46","3.08","1.23",".11","1.04","2.84","5.31","12.57","24.58","12.00","15947"
"Casey Kelly","Giants","SF @ CIN",".35","5.74","24.74","6.45","4.23","1.14",".13",".95","1.67","4.08","12.50","23.95","11.51","9174"
"Edwin Jackson","Athletics","HOU @ OAK",".28","5.81","24.96","6.00","3.65","1.41",".09",".85","2.12","3.72","11.98","23.09","10.92","1841"
"Drew Hutchison","Rangers","LAA @ TEX",".33","5.44","24.13","5.83","3.58","1.14",".15",".96","2.61","3.68","10.15","21.05","9.48","10732"
"Odrisamer Despaigne","Angels","LAA @ TEX",".31","5.23","23.54","5.90","3.56","1.25",".23",".87","2.58","3.46","8.82","19.24","8.31","16017"
"Dan Straily","Marlins","MIA @ WSH",".14","5.10","23.24","5.90","3.44","1.20",".08","1.18","2.62","3.90","8.17","18.40","7.77","9460"
"David Hess","Orioles","BAL @ CLE",".17","5.24","23.80","6.34","3.87","1.38",".10",".99","2.35","3.02","6.72","16.39","6.31","16130"
