,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Justin Verlander,Astros,SP,12000,26.55,24.36,25.59,127.19448730146578
1,Mike Foltynewicz,Braves,SP,10400,17.06,18.62,17.94,128.4537076003704
2,J.A. Happ,Yankees,SP,10000,19.91,20.69,22.2,104.41869997002432
3,Rick Porcello,Red Sox,SP,9800,20.36,20.16,22.16,105.19374609780778
4,Rich Hill,Dodgers,SP,9400,20.84,21.12,18.71,136.11406376314378
5,German Marquez,Rockies,SP,8500,21.84,19.08,22.52,110.11708958333332
6,Robbie Ray,Diamondbacks,SP,8000,15.76,16.95,17.44,123.49094323345335
7,Andrew Heaney,Angels,SP,7400,11.53,15.75,11.46,102.21295953360769
8,Wade LeBlanc,Mariners,SP,7200,11.67,12.19,10.05,75.2280579379223
9,Joe Musgrove,Pirates,SP,7000,15.08,12.89,14.17,84.60418083900227
10,John Gant,Cardinals,SP,6800,13.65,12.13,13.49,58.96613451086956
11,Mike Montgomery,Cubs,SP,6300,12.05,10.44,8.48,80.48019981389265
12,Frankie Montas,Athletics,SP,6000,11.35,13.09,10.93,81.54284218749999
13,J.D. Martinez,Red Sox,OF,5800,11.08,8.73,11.04,66.49523920343917
14,Mookie Betts,Red Sox,OF,5700,10.84,9.92,11.03,79.9360529907795
15,Alex Bregman,Astros,3B/SS,5500,9.41,9.01,9.31,53.19067952249778
16,Andrew Benintendi,Red Sox,OF,5400,9.66,8.29,9.84,67.35273826306128
17,Mike Trout,Angels,OF,5400,8.76,8.95,9.63,74.12185406058619
18,Trevor Story,Rockies,SS,5300,9.06,7.93,8.33,69.67793005671071
19,Giancarlo Stanton,Yankees,OF,5300,11.69,10.33,12.17,75.23857474638119
20,Eric Lauer,Padres,SP,5200,13.55,11.47,11.17,80.0
21,Nolan Arenado,Rockies,3B,5200,9.73,7.6,9.32,71.64606437214455
22,Charlie Blackmon,Rockies,OF,5100,8.48,8.59,8.71,63.25476474034938
23,Manny Machado,Dodgers,SS,5100,9.22,6.79,8.96,65.79429884976597
24,Lucas Giolito,White Sox,SP,5000,10.05,11.56,9.34,113.23440096952908
25,Matt Carpenter,Cardinals,1B/3B,5000,8.99,7.57,8.7,54.47030377632221
26,Khris Davis,Athletics,OF,5000,9.07,8.34,8.99,68.85599494336749
27,Javier Baez,Cubs,2B/SS,5000,9.3,7.81,8.0,64.97751482211392
28,Xander Bogaerts,Red Sox,SS,4900,8.82,7.56,8.64,49.1156704440265
29,Justin Turner,Dodgers,3B,4900,9.29,7.43,8.55,44.009572224325524
30,Aaron Hicks,Yankees,OF,4900,10.28,7.74,9.55,48.36673105456197
31,Anthony Rizzo,Cubs,1B,4900,9.22,8.35,9.12,63.412578989167
32,DJ LeMahieu,Rockies,2B,4800,8.02,6.88,7.61,42.11410575294422
33,Paul Goldschmidt,Diamondbacks,1B,4800,8.47,7.32,9.54,70.39695270853102
34,Miguel Andujar,Yankees,3B,4800,9.85,9.01,9.28,56.49104166666665
35,Gleyber Torres,Yankees,2B,4800,9.05,8.24,9.14,52.361570247933884
