,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Blake Snell,Rays,SP,10700,19.13,19.41,19.88,121.77888672310092
1,Michael Kopech,White Sox,SP,9800,19.15,12.71,15.21,80.0
2,Shane Bieber,Indians,SP,8600,17.71,16.01,17.1,80.0
3,Jose Berrios,Twins,SP,8400,16.19,16.74,16.67,173.54198476239662
4,Chris Archer,Pirates,SP,8200,18.38,18.38,17.66,108.88772533518478
5,Kevin Gausman,Braves,SP,8100,17.62,18.17,19.31,116.91908387270193
6,Kyle Hendricks,Cubs,SP,8000,16.36,17.4,14.47,74.13075821995466
7,Nathan Eovaldi,Red Sox,SP,7800,16.38,16.42,17.34,97.88932120174769
8,Chase Anderson,Brewers,SP,7700,15.8,18.04,14.24,81.30542703263022
9,Jordan Zimmermann,Tigers,SP,7400,13.54,12.77,13.27,109.92510610177037
10,Tyler Anderson,Rockies,SP,6900,13.24,11.88,14.72,100.13656737773157
11,Steven Matz,Mets,SP,6400,15.38,14.1,17.04,116.74994003295895
12,Pablo Lopez,Marlins,SP,6200,14.49,11.6,18.95,80.0
13,Marco Estrada,Blue Jays,SP,6000,13.92,14.68,14.11,101.70198643456685
14,Jefry Rodriguez,Nationals,SP,5900,12.67,13.61,11.75,80.0
15,Trevor Story,Rockies,SS,5800,11.19,10.39,10.92,59.88809073724008
16,Nolan Arenado,Rockies,3B,5800,11.91,11.06,11.96,62.74957792102714
17,Jose Ramirez,Indians,3B,5700,11.28,10.84,10.91,56.79167043911272
18,Christian Yelich,Brewers,OF,5600,8.57,7.88,8.24,56.58319195991153
19,Austin Gomber,Cardinals,SP,5500,10.91,9.44,6.21,64.21272339876033
20,Mookie Betts,Red Sox,OF,5400,9.84,8.35,9.46,79.50963902902436
21,Matt Carpenter,Cardinals,1B/3B,5400,9.66,8.96,11.05,51.75803402646503
22,Javier Baez,Cubs,2B/SS,5300,12.12,9.32,12.23,40.09101045468198
23,Chris Bassitt,Athletics,SP,5300,10.68,11.27,8.9,77.54359183673469
24,Charlie Blackmon,Rockies,OF,5200,10.46,8.71,11.07,60.44376430693126
25,Francisco Lindor,Indians,SS,5200,10.73,9.34,10.16,65.19548275620052
26,Khris Davis,Athletics,OF,5200,8.81,8.61,10.08,51.99660566255695
27,Anthony Rizzo,Cubs,1B,5100,11.41,9.29,11.93,57.33699333888112
28,Jedd Gyorko,Cardinals,2B/3B,5100,8.89,8.83,8.43,31.63793687616373
29,Ian Desmond,Rockies,1B,5000,8.95,8.68,9.03,45.27692242349594
