,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Clay Buchholz,Diamondbacks,SP,9500,16.59,16.76,133.92924417756092
1,Tanner Roark,Nationals,SP,9100,14.03,16.58,109.06721224489792
2,Jon Gray,Rockies,SP,8700,14.37,18.64,154.76225625
3,Julio Teheran,Braves,SP,8200,14.94,17.36,108.49561375339522
4,Jacob Nix,Padres,SP,7800,14.01,11.38,80.0
5,Jon Lester,Cubs,SP,7300,14.42,16.45,133.49800307628178
6,Luke Weaver,Cardinals,SP,7100,12.91,14.52,80.0
7,Ervin Santana,Twins,SP,7000,15.4,15.64,125.68340042538985
8,Sam Gaviglio,Blue Jays,SP,6800,14.55,13.33,80.0
9,Ivan Nova,Pirates,SP,6500,12.14,10.84,104.10468070348465
10,Francisco Liriano,Tigers,SP,5800,11.05,13.24,151.0663696522007
11,Justin Upton,Angels,OF,5500,11.34,9.19,63.7659552826669
12,Matt Carpenter,Cardinals,1B/3B,5400,10.24,9.72,54.419092044981326
13,David Peralta,Diamondbacks,OF,5300,9.32,8.31,57.40660669054071
14,Shohei Ohtani,Angels,OF,5200,9.8,10.09,67.2279035792549
15,Paul Goldschmidt,Diamondbacks,1B,5200,9.99,9.49,69.99465756186805
16,Freddie Freeman,Braves,1B,5100,9.59,7.85,59.11577582425986
17,Bryce Harper,Nationals,OF,5000,10.27,9.41,67.59556727335409
18,Javier Baez,Cubs,2B/SS,5000,9.74,8.46,64.20205245543308
19,Carlos Gonzalez,Rockies,OF,4900,8.7,8.8,73.5008987193913
20,Nolan Arenado,Rockies,3B,4900,9.81,7.15,72.22001391692395
21,David Dahl,Rockies,OF,4900,7.98,7.4,34.99029126213592
22,Trevor Story,Rockies,SS,4900,9.05,6.49,70.28312939843718
23,Rougned Odor,Rangers,2B,4900,9.14,8.92,62.286665381116066
24,Joey Gallo,Rangers,1B/OF,4900,9.72,8.73,67.50521603374638
25,Nick Markakis,Braves,OF,4800,7.79,6.56,43.014567329236066
26,Ozzie Albies,Braves,2B,4800,9.03,8.0,64.90397923875429
27,Ariel Jurado,Rangers,SP,4800,6.86,9.32,80.0
28,Charlie Blackmon,Rockies,OF,4700,9.99,9.12,63.24216354211517
29,Juan Soto,Nationals,OF,4700,9.43,7.49,71.48593864134405
30,Eduardo Escobar,Diamondbacks,3B/SS,4700,8.14,7.74,46.074965284293526
31,Trea Turner,Nationals,SS,4600,9.8,8.24,85.68818477644321
32,A.J. Pollock,Diamondbacks,OF,4600,9.07,8.82,68.83648888888875
33,Travis Jankowski,Padres,OF,4600,7.58,7.75,39.36746210689576
34,Anthony Rizzo,Cubs,1B,4600,9.35,8.79,62.80016707129262
35,Paul DeJong,Cardinals,SS,4500,8.23,7.88,52.9410579652636
36,Glenn Sparkman,Royals,SP,4500,9.69,10.99,80.0
37,Eddie Rosario,Twins,OF,4500,9.22,6.63,61.84918045488203
38,Miguel Sano,Twins,1B/3B,4500,9.43,8.52,58.14224875499739
39,Starling Marte,Pirates,OF,4500,8.87,9.35,59.557535692207864
40,Kole Calhoun,Angels,OF,4400,10.12,9.28,53.95025839793265
41,Ronald Guzman,Rangers,1B,4400,7.6,6.82,57.708117661911366
42,Elvis Andrus,Rangers,SS,4400,9.45,7.55,43.76593592166564
43,Tyler O'Neill,Cardinals,OF,4300,9.49,6.67,35.0
44,Yadier Molina,Cardinals,C,4300,8.57,7.75,39.58659062753648
45,Justin Smoak,Blue Jays,1B,4300,9.02,8.38,49.511029263776656
46,Adalberto Mondesi,Royals,2B/SS,4300,6.91,6.13,38.594057739247496
47,Johan Camargo,Braves,3B/SS,4200,7.59,5.57,40.70890421647263
48,Andrelton Simmons,Angels,SS,4200,8.08,7.02,36.43900530598164
49,Randal Grichuk,Blue Jays,OF,4200,9.2,8.69,58.25454394002514
50,Aledmys Diaz,Blue Jays,SS,4200,7.6,6.35,51.446744003802564
51,David Freese,Pirates,1B/3B,4200,7.53,6.48,38.21833750169204
52,Josh Bell,Pirates,1B,4200,7.2,7.37,45.14354540722067
53,DJ LeMahieu,Rockies,2B,4100,7.83,6.6,42.14283525417915
54,Ender Inciarte,Braves,OF,4100,7.28,5.84,44.84063208764516
55,Robinson Chirinos,Rangers,C,4100,7.67,6.99,50.45913594926674
56,Ryan Zimmerman,Nationals,1B,4100,8.91,6.49,59.27941848390458
57,Anthony Rendon,Nationals,3B,4100,9.33,8.66,57.06796410414568
58,Kevin Pillar,Blue Jays,OF,4100,7.22,5.88,44.22608252458095
59,Jorge Polanco,Twins,SS,4100,7.45,7.26,37.84195774393945
60,Gregory Polanco,Pirates,OF,4100,7.56,6.89,54.13023311000972
61,Albert Pujols,Angels,1B,4000,8.86,8.05,71.90179494613359
62,Taylor Cole,Angels,RP,4000,11.59,9.36,80.0
63,Curtis Granderson,Blue Jays,OF,4000,9.3,8.96,65.41971478876789
64,Whit Merrifield,Royals,2B/OF,4000,8.72,8.22,50.96602893455924
65,Ketel Marte,Diamondbacks,2B/SS,4000,7.24,6.33,37.335428994082896
66,Jeimer Candelario,Tigers,3B,4000,7.8,7.82,47.05455624543461
67,Elias Diaz,Pirates,C,4000,6.84,6.4,33.916564547924786
68,Delino DeShields,Rangers,OF,3900,6.88,6.19,41.83200550491149
69,Lucas Duda,Royals,1B,3900,8.09,8.31,53.52909430849442
70,Eric Hosmer,Padres,1B,3900,7.95,6.93,48.784011839159355
71,Wil Myers,Padres,OF,3900,8.81,8.12,63.400243676953856
72,Nick Ahmed,Diamondbacks,SS,3900,6.97,5.88,44.209316436789706
73,Jason Heyward,Cubs,OF,3900,8.12,8.27,47.363361256085504
74,Corey Dickerson,Pirates,OF,3900,8.16,7.45,60.18765654538888
75,Willson Contreras,Cubs,C,3900,7.51,5.41,54.013883104262064
76,Ian Desmond,Rockies,1B,3800,7.19,5.65,50.8656212373245
77,Nomar Mazara,Rangers,OF,3800,8.93,7.26,47.39957004123261
78,Daniel Murphy,Nationals,1B/2B,3800,8.64,7.0,49.892167821214436
79,Adam Eaton,Nationals,OF,3800,8.63,7.63,45.923966942148674
80,Harrison Bader,Cardinals,OF,3800,7.33,5.66,45.22388244776494
81,Russell Martin,Blue Jays,C,3800,7.31,7.38,47.04879691604466
82,Devon Travis,Blue Jays,2B,3800,8.61,7.92,44.67111771700363
