,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Gerrit Cole,Astros,SP,12000,24.76,24.66,26.63,85.34457585757612
1,Patrick Corbin,Diamondbacks,SP,11500,22.75,20.12,23.12,119.79509949494951
2,Noah Syndergaard,Mets,SP,10100,12.58,21.64,11.88,100.595996484375
3,Masahiro Tanaka,Yankees,SP,9500,20.04,18.8,20.44,127.0010201325901
4,Stephen Strasburg,Nationals,SP,9100,19.93,19.4,20.85,127.89334098255094
5,Jon Gray,Rockies,SP,8700,18.54,18.98,19.9,151.8240899204343
6,Carlos Rodon,White Sox,SP,8500,12.25,14.8,9.7,100.84533928857556
7,Jon Lester,Cubs,SP,8200,12.71,16.89,11.55,133.20896744000007
8,Zach Eflin,Phillies,SP,7300,11.68,16.12,12.02,139.59713710937504
9,Sam Gaviglio,Blue Jays,SP,7000,12.88,14.6,10.87,72.78969280478395
10,Chris Stratton,Giants,SP,6000,14.84,11.72,11.66,109.64551680547295
11,Mike Trout,Angels,OF,5800,9.22,9.1,9.82,74.12185406058619
12,Brett Anderson,Athletics,SP,5700,7.58,10.25,6.97,120.05304490023369
13,David Peralta,Diamondbacks,OF,5500,8.42,7.85,8.44,58.66644572076769
14,Alex Bregman,Astros,3B/SS,5400,9.56,9.21,9.01,53.19067952249778
15,Javier Baez,Cubs,2B/SS,5200,11.37,7.25,11.65,64.97751482211392
16,Giancarlo Stanton,Yankees,OF,5200,10.94,10.27,12.2,75.23857474638119
17,Paul Goldschmidt,Diamondbacks,1B,5100,8.43,8.5,9.78,70.39695270853102
18,Bryce Harper,Nationals,OF,5100,10.65,9.72,11.25,67.60527162882822
19,Kendrys Morales,Blue Jays,1B,5000,9.84,8.2,8.8,59.963872882254044
20,Charlie Blackmon,Rockies,OF,5000,9.07,9.3,9.28,63.25476474034938
21,Nolan Arenado,Rockies,3B,5000,8.65,9.13,8.81,71.64606437214455
22,Anthony Rizzo,Cubs,1B,4900,10.86,7.01,11.07,63.412578989167
23,David Dahl,Rockies,OF,4800,7.25,6.23,7.11,39.77561983471075
24,Jose Altuve,Astros,2B,4700,9.46,10.36,8.56,57.02663159666717
25,Khris Davis,Athletics,OF,4700,7.66,7.4,7.62,68.85599494336749
26,Curtis Granderson,Blue Jays,OF,4700,10.39,6.95,8.34,65.38365650969551
27,Trea Turner,Nationals,SS,4700,9.9,8.46,8.68,84.63887425194778
28,George Springer,Astros,OF,4600,9.23,10.05,8.66,65.59353353966142
29,Carlos Gonzalez,Rockies,OF,4600,7.97,8.59,8.04,73.18035719616961
30,Trevor Story,Rockies,SS,4600,8.06,7.26,8.27,69.67793005671071
31,Shohei Ohtani,Angels,OF,4600,6.73,6.43,7.16,64.07792980368826
32,Adam Eaton,Nationals,OF,4600,8.66,7.79,8.27,45.73116160383664
33,Carlos Correa,Astros,SS,4500,8.68,7.14,8.07,69.37643449494256
34,A.J. Pollock,Diamondbacks,OF,4500,8.59,8.2,9.55,68.60888638368787
35,Wilson Ramos,Phillies,C,4500,8.64,6.51,8.14,48.31653881926272
36,Rhys Hoskins,Phillies,OF,4500,9.23,7.91,9.06,71.71811224489795
37,Tyler White,Astros,1B,4400,8.45,8.12,6.9,58.626326643529
38,David Hess,Orioles,SP,4400,9.24,7.8,9.83,80.0
39,Tim Anderson,White Sox,SS,4400,7.37,7.32,7.24,53.49863392013225
40,Juan Soto,Nationals,OF,4400,9.16,7.33,9.28,67.10959500653213
41,Ian Desmond,Rockies,1B,4300,6.48,6.36,6.44,51.42304819950893
42,Aaron Hicks,Yankees,OF,4300,9.37,7.29,9.59,48.36673105456197
43,Miguel Andujar,Yankees,3B,4300,9.25,8.13,9.14,56.49104166666665
44,Todd Frazier,Mets,3B,4200,10.72,7.32,11.95,58.85218762014609
45,Justin Smoak,Blue Jays,1B,4200,9.98,8.41,8.75,49.28948347107464
46,Randal Grichuk,Blue Jays,OF,4200,9.86,8.0,8.11,58.078142901675456
47,Jonathan Villar,Orioles,2B,4200,9.05,9.99,9.46,55.51417673385997
48,Aledmys Diaz,Blue Jays,SS,4200,8.6,6.47,7.02,50.51524238487776
49,Eduardo Escobar,Diamondbacks,3B/SS,4200,7.64,7.14,7.3,46.34311604675515
50,DJ LeMahieu,Rockies,2B,4200,7.42,6.19,7.25,42.11410575294422
51,Gleyber Torres,Yankees,2B,4200,8.51,7.17,9.14,52.361570247933884
52,Anthony Rendon,Nationals,3B,4200,9.38,7.47,8.79,56.740599893667394
53,Cesar Hernandez,Phillies,2B,4200,7.3,7.36,6.93,37.304929652092575
