,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Justin Verlander,Astros,SP,12300,30.17,26.62,32.67,126.88898061048616
1,Mike Clevinger,Indians,SP,11000,21.36,19.01,22.39,102.50730612244897
2,J.A. Happ,Yankees,SP,10400,15.42,16.51,18.08,104.72596853811912
3,Rich Hill,Dodgers,SP,10000,23.86,19.36,19.57,137.21197714584292
4,German Marquez,Rockies,SP,9300,17.03,11.74,17.54,112.30801565439396
5,Robbie Ray,Diamondbacks,SP,8900,22.98,22.35,23.76,122.39123937379007
6,Andrew Heaney,Angels,SP,8700,12.45,17.27,13.1,100.640426446281
7,Rick Porcello,Red Sox,SP,8600,15.36,17.7,16.74,104.8571261488847
8,Wade LeBlanc,Mariners,SP,8400,16.68,16.81,15.29,75.5894089580678
9,Joey Lucchesi,Padres,SP,8000,14.62,14.63,13.17,94.83348922902492
10,Mike Minor,Rangers,SP,7700,12.1,12.02,11.21,93.26782725
11,Dereck Rodriguez,Giants,SP,7600,9.58,10.13,5.55,80.0
12,Jake Arrieta,Phillies,SP,7400,16.49,16.0,19.02,139.27691942830134
13,Trevor Richards,Marlins,SP,7300,16.94,12.53,17.52,80.0
14,Sean Newcomb,Braves,SP,7100,12.72,14.79,13.22,97.04731358024686
15,Joe Musgrove,Pirates,SP,7000,15.34,12.33,16.09,83.55386657714844
16,John Gant,Cardinals,SP,6800,12.01,12.15,9.03,61.2919488456315
17,Danny Duffy,Royals,SP,6700,10.15,12.99,10.66,104.94826515704894
18,Wade Miley,Brewers,SP,6600,12.74,12.52,9.58,113.1936374858276
19,Mike Montgomery,Cubs,SP,6400,10.55,12.2,11.31,80.48019981389265
20,Lucas Giolito,White Sox,SP,6300,16.31,11.35,16.31,117.38452498356342
21,Ryan Borucki,Blue Jays,SP,6200,11.27,12.1,11.23,80.0
22,Mookie Betts,Red Sox,OF,6000,10.58,7.98,10.64,80.13935887163052
23,Alex Cobb,Orioles,SP,5900,9.48,12.5,10.95,116.26728810586731
24,Christian Yelich,Brewers,OF,5900,9.06,8.84,8.44,53.91096161251298
25,Javier Baez,Cubs,2B/SS,5800,10.28,8.52,9.39,64.88382445444428
26,J.D. Martinez,Red Sox,OF,5700,10.15,8.39,10.28,66.23409234081184
27,Mike Trout,Angels,OF,5600,12.44,9.48,13.19,74.20919833889293
28,Jason Vargas,Mets,SP,5600,10.77,10.48,8.19,118.52472534291776
29,Alex Bregman,Astros,3B/SS,5500,9.28,7.36,8.7,54.48213399943312
30,Jose Ramirez,Indians,3B,5400,10.84,10.16,10.2,68.49438143025803
31,Charlie Blackmon,Rockies,OF,5400,10.63,10.31,11.14,63.15343735396107
32,Erick Fedde,Nationals,SP,5300,13.33,10.73,15.16,80.0
33,Matt Carpenter,Cardinals,1B/3B,5300,10.03,9.61,9.94,54.68226765016636
34,Nolan Arenado,Rockies,3B,5200,10.29,10.34,12.11,71.59348856354534
35,Jesus Aguilar,Brewers,1B,5200,9.32,6.54,8.66,65.24809329390222
36,Francisco Lindor,Indians,SS,5100,10.74,9.53,9.97,64.45431303822703
37,Lorenzo Cain,Brewers,OF,5100,9.4,7.29,8.47,52.53621106138211
38,Anthony Rizzo,Cubs,1B,5100,9.08,8.49,9.87,63.54446003094753
39,Kris Bryant,Cubs,3B,5100,9.72,9.33,9.38,72.27763834572964
40,Paul Goldschmidt,Diamondbacks,1B,5000,9.49,9.08,9.5,70.29325887206649
41,Cody Reed,Reds,SP,5000,11.66,10.91,8.93,60.08339646464646
42,Hunter Renfroe,Padres,OF,4900,8.37,7.41,7.73,61.94928512537963
