Name,Team,Pos,DK,Salary
Aaron Nola,Phillies,SP,21.5,12100.0
Adam Duvall,Reds,LF,7.84,3500.0
Albert Pujols,Angels,1B,8.01,4100.0
Alex Bregman,Astros,3B,9.26,5300.0
Andrelton Simmons,Angels,SS,7.72,3700.0
Andrew Benintendi,Red Sox,LF,9.9,5000.0
Anthony DeSclafani,Reds,SP,15.12,6400.0
Anthony Rendon,Nationals,3B,8.18,4200.0
Billy Hamilton,Reds,CF,6.46,3700.0
Brad Miller,Brewers,1B,8.23,3300.0
Brian Johnson,Red Sox,SP,10.4,5500.0
Brian McCann,Astros,C,7.07,3000.0
Brock Holt,Red Sox,2B,6.89,3600.0
Bryce Harper,Nationals,RF,9.6,4800.0
C.J. Cron,Rays,DH,6.18,4000.0
Carlos Gomez,Rays,RF,5.8,3000.0
Carlos Santana,Phillies,1B,8.33,4700.0
Cesar Hernandez,Phillies,2B,8.04,4500.0
Chris Young,Angels,RF,7.09,3200.0
Christian Vazquez,Red Sox,C,6.24,2600.0
Christian Yelich,Brewers,LF,10.11,5200.0
Daniel Murphy,Nationals,2B,8.24,4000.0
David Fletcher,Angels,SS,6.99,3600.0
Eric Thames,Brewers,1B,10.97,5100.0
Erik Kratz,Brewers,C,7.88,3300.0
Eugenio Suarez,Reds,3B,8.79,5100.0
Evan Gattis,Astros,DH,8.44,4200.0
George Springer,Astros,CF,9.52,4900.0
Ian Kinsler,Angels,2B,8.9,3800.0
J.D. Martinez,Red Sox,DH,10.65,5600.0
Jackie Bradley Jr.,Red Sox,CF,6.77,3400.0
Jaime Barria,Angels,SP,10.07,6600.0
Jake Bauers,Rays,LF,6.97,3900.0
Jake Marisnick,Astros,CF,6.14,2800.0
Jesse Winker,Reds,RF,7.71,3500.0
Jesus Aguilar,Brewers,1B,10.08,5200.0
Joey Votto,Reds,1B,10.08,5000.0
Joey Wendle,Rays,2B,6.11,3000.0
Jorge Alfaro,Phillies,C,5.94,2800.0
Jose Altuve,Astros,2B,9.34,5200.0
Jose Briceno,Angels,C,6.21,3400.0
Jose Peraza,Reds,SS,7.3,3800.0
Josh Reddick,Astros,RF,8.22,3600.0
Juan Soto,Nationals,LF,8.02,4500.0
Junior Guerra,Brewers,SP,14.11,8200.0
Justin Upton,Angels,LF,9.33,4800.0
Kevin Kiermaier,Rays,CF,7.49,3400.0
Lance McCullers Jr.,Astros,SP,18.55,11100.0
Maikel Franco,Phillies,3B,6.87,3500.0
Mallex Smith,Rays,LF,6.42,3200.0
Marwin Gonzalez,Astros,LF,7.55,3400.0
Matt Duffy,Rays,3B,6.99,3700.0
Michael A. Taylor,Nationals,CF,6.87,3500.0
Michael Hermosillo,Angels,CF,5.86,3100.0
Mike Trout,Angels,CF,11.89,6100.0
Mitch Moreland,Red Sox,1B,8.66,4300.0
Mookie Betts,Red Sox,RF,10.88,6000.0
Nick Williams,Phillies,RF,7.98,3300.0
Odubel Herrera,Phillies,CF,8.36,5400.0
Orlando Arcia,Brewers,SS,6.41,2700.0
Pedro Severino,Nationals,C,4.67,2600.0
Rafael Devers,Red Sox,3B,8.22,4000.0
Rhys Hoskins,Phillies,LF,9.54,4900.0
Ryan Braun,Brewers,1B,9.33,4200.0
Ryne Stanek,Rays,SP,13.77,4000.0
Scooter Gennett,Reds,2B,9.62,4600.0
Scott Kingery,Phillies,SS,7.48,3000.0
Tanner Roark,Nationals,SP,17.11,7100.0
Travis Shaw,Brewers,3B,10.07,4300.0
Trea Turner,Nationals,SS,7.95,4400.0
Tucker Barnhart,Reds,C,7.95,3700.0
Tyler White,Astros,DH,7.42,3500.0
Willy Adames,Rays,SS,4.94,3200.0
Wilmer Difo,Nationals,2B,5.53,3000.0
Wilson Ramos,Rays,C,6.44,3500.0
Xander Bogaerts,Red Sox,SS,8.05,5000.0
