,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Gerrit Cole,Astros,SP,13300,18.31,22.89,85.87002421117555
1,Corey Kluber,Indians,SP,11000,19.49,22.84,158.91875184568718
2,Rick Porcello,Red Sox,SP,10100,13.85,15.18,105.54088121807229
3,Zack Wheeler,Mets,SP,9300,15.94,17.99,93.89437113369526
4,Mike Fiers,Athletics,SP,8200,15.9,13.79,114.20972142697796
5,Derek Holland,Giants,SP,8100,13.81,12.71,144.28097901765503
6,Alex Wood,Dodgers,SP,8000,16.54,15.67,107.32373897367016
7,Chris Archer,Pirates,SP,7800,16.49,16.11,109.08373928269532
8,Austin Gomber,Cardinals,SP,7200,11.41,13.42,80.0
9,Marco Estrada,Blue Jays,SP,6800,17.6,16.72,102.06869350907542
10,Chase Anderson,Brewers,SP,6600,17.31,17.14,81.30064266204832
11,Felix Hernandez,Mariners,SP,6000,10.74,12.69,137.82860448426834
12,Mookie Betts,Red Sox,OF,5900,9.04,7.25,99.86996100204905
13,Jose Ramirez,Indians,3B,5800,9.77,9.99,71.3983237842958
14,J.D. Martinez,Red Sox,OF,5700,8.72,8.18,71.67810251230904
15,Andrew Cashner,Orioles,SP,5700,11.34,9.22,96.39630538283674
17,Francisco Lindor,Indians,SS,5300,9.11,9.53,82.06424644479037
18,Andrew Benintendi,Red Sox,OF,5200,7.98,7.21,75.66695539669313
19,Jorge Lopez,Royals,SP,5200,10.59,10.26,80.0
20,Christian Yelich,Brewers,OF,5100,10.21,9.76,70.17677673546628
21,Freddie Freeman,Braves,1B,5000,9.32,8.27,71.15384197324731
22,Khris Davis,Athletics,OF,5000,9.45,9.83,64.43433876073179
23,Bartolo Colon,Rangers,SP,5000,9.72,10.37,128.46256143933834
24,Ryan Braun,Brewers,1B/OF,4900,9.48,7.13,89.75582303739624
25,Scooter Gennett,Reds,2B,4900,8.24,8.32,44.593336951383904
26,Eric Thames,Brewers,1B/OF,4800,8.63,8.84,50.26773547623925
27,Eddie Rosario,Twins,OF,4800,9.56,9.82,57.14492491937651
28,Michael Brantley,Indians,OF,4700,8.88,8.16,61.48648796430685
29,Alex Bregman,Astros,3B/SS,4700,9.36,8.03,75.16412759868697
30,Travis Shaw,Brewers,2B/3B,4700,9.48,9.21,56.66389417552427
31,Harrison Bader,Cardinals,OF,4700,6.93,7.02,29.714794505059643
32,Lucas Giolito,White Sox,SP,4700,11.43,7.69,80.0
33,Xander Bogaerts,Red Sox,SS,4600,6.78,6.87,58.72864275147929
34,Mallex Smith,Rays,OF,4600,9.24,8.26,39.808956924172314
35,Lorenzo Cain,Brewers,OF,4600,9.19,9.5,60.46186107120185
36,Mike Moustakas,Brewers,3B,4600,10.35,8.63,44.314367745662715
37,Eugenio Suarez,Reds,3B,4600,8.15,8.31,53.67260481996403
38,Manny Machado,Dodgers,SS,4600,9.73,9.12,70.39757389718861
39,Cody Bellinger,Dodgers,1B/OF,4600,8.49,7.94,78.2119140625
40,Ozzie Albies,Braves,2B,4600,8.59,8.21,75.76911157024793
41,Jose Abreu,White Sox,1B,4600,8.77,8.45,74.64400334376894
42,Miguel Sano,Twins,1B/3B,4600,8.81,9.53,67.66967606857278
43,George Springer,Astros,OF,4500,9.09,8.47,77.46370551757757
44,Jose Peraza,Reds,SS,4500,7.2,6.95,43.9434488552825
45,Justin Turner,Dodgers,3B,4500,9.67,7.64,40.90875908344583
46,Matt Carpenter,Cardinals,1B/3B,4500,7.79,7.46,64.69967064254534
47,Todd Frazier,Mets,3B,4500,8.48,6.7,57.0649383486267
48,Nick Markakis,Braves,OF,4500,7.79,6.8,57.71222083818489
49,Jed Lowrie,Athletics,2B,4400,7.92,8.63,44.997564358710186
50,Matt Davidson,White Sox,1B/3B,4400,7.04,7.82,40.72664038153613
51,Mitch Moreland,Red Sox,1B,4300,6.91,6.56,40.58439446366781
52,Curtis Granderson,Blue Jays,OF,4300,8.77,8.87,65.74834471647266
53,Jean Segura,Mariners,SS,4300,7.62,7.42,59.34836108251466
54,Mitch Haniger,Mariners,OF,4300,7.77,6.72,63.61961451247166
55,Carlos Correa,Astros,SS,4300,8.42,8.56,79.54711468224983
56,Homer Bailey,Reds,SP,4300,9.89,8.44,148.39392426439994
57,Jose Martinez,Cardinals,1B,4300,8.25,7.75,40.90555002263468
58,Paul DeJong,Cardinals,SS,4300,8.09,7.27,62.63833681260546
59,Rougned Odor,Rangers,2B,4300,7.46,8.41,54.312990865968494
60,Matt Chapman,Athletics,3B,4300,9.19,8.66,58.379150390625
61,Tim Anderson,White Sox,SS,4300,8.17,8.97,52.60234271223282
62,Ian Kinsler,Red Sox,2B,4200,6.46,6.04,74.57528337036362
63,Adam Jones,Orioles,OF,4200,7.46,6.63,58.91374083843704
64,Gregory Polanco,Pirates,OF,4200,8.02,7.76,53.30440886859418
65,Marcus Semien,Athletics,SS,4200,6.91,6.5,48.46921385151288
66,Joe Mauer,Twins,1B,4200,8.01,7.62,60.845134502181395
67,Jorge Polanco,Twins,SS,4200,7.8,8.24,49.11073442797107
68,Tucker Barnhart,Reds,C,4100,6.23,6.06,27.73460756487931
69,Brian Dozier,Dodgers,2B,4100,9.51,7.78,70.60430715617017
70,Brandon Belt,Giants,1B,4100,8.84,7.08,52.20301741151704
71,Francisco Cervelli,Pirates,C,4100,7.21,7.07,34.16767822265626
72,Corey Dickerson,Pirates,OF,4100,8.59,8.43,52.297327068265545
73,Johan Camargo,Braves,3B/SS,4100,7.41,6.31,39.67630552930056
74,Jurickson Profar,Rangers,3B/SS,4100,6.4,8.01,35.84873966304769
75,Matt Olson,Athletics,1B,4100,8.86,9.3,57.41577213306408
76,Nomar Mazara,Rangers,OF,4100,7.25,7.68,50.52718142204272
77,Tyler Austin,Twins,1B,4100,7.71,7.03,36.65512759924385
78,Daniel Palka,White Sox,OF,4100,7.34,8.0,44.84484282287591
79,Yonder Alonso,Indians,1B,4000,7.86,7.14,36.0
80,Justin Smoak,Blue Jays,1B,4000,8.88,7.91,37.46957601281027
81,Randal Grichuk,Blue Jays,OF,4000,8.41,7.6,43.160918273645535
82,Kevin Pillar,Blue Jays,OF,4000,7.81,6.86,39.630570208664906
83,Tommy Pham,Rays,OF,4000,8.88,8.84,52.75969547495274
84,Salvador Perez,Royals,C,4000,7.5,7.21,44.99990325181403
85,Whit Merrifield,Royals,2B/OF,4000,8.06,8.5,68.84257959183674
86,Denard Span,Mariners,OF,4000,7.36,5.93,59.708637435405244
87,Nelson Cruz,Mariners,OF,4000,8.2,7.38,71.54248379622939
88,Billy Hamilton,Reds,OF,4000,7.36,8.03,58.07411330451942
89,Preston Tucker,Reds,OF,4000,7.28,6.76,20.024603323533707
90,Jedd Gyorko,Cardinals,2B/3B,4000,7.08,6.54,39.31863973791987
91,Wilmer Flores,Mets,1B,4000,8.53,7.37,33.7189013091996
92,Ender Inciarte,Braves,OF,4000,6.93,6.32,53.718713775887394
93,Josh Bell,Pirates,1B,4000,7.78,6.82,46.830210001867115
94,Lucas Duda,Royals,1B,3900,7.17,7.12,46.3346836616571
95,Brett Phillips,Royals,OF,3900,5.25,5.26,22.007136678200695
96,Joey Wendle,Rays,2B,3900,7.94,7.56,38.07152557718425
97,Willy Adames,Rays,2B/SS,3900,7.06,5.52,35.0
98,Evan Gattis,Astros,C,3900,7.38,6.97,49.71688879633486
99,Jonathan Schoop,Brewers,2B,3900,8.17,7.27,45.712508413283956
100,Yadier Molina,Cardinals,C,3900,8.03,7.43,39.30377805364277
101,Matt Kemp,Dodgers,OF,3900,8.95,7.57,69.11705010763265
102,Marcell Ozuna,Cardinals,OF,3900,8.21,8.24,54.32870787679693
103,Jose Bautista,Mets,3B/OF,3900,7.31,7.52,63.47589348711795
104,Amed Rosario,Mets,SS,3900,7.59,7.3,37.112762994467225
105,Adam Frazier,Pirates,2B/OF,3900,7.92,6.94,30.146315414738346
106,Leury Garcia,White Sox,OF,3900,7.81,6.76,21.02135991456034
107,Yolmer Sanchez,White Sox,3B,3900,6.37,7.19,31.73525910380621
108,Max Kepler,Twins,OF,3900,8.04,7.59,46.111921274087884
109,Jonathan Villar,Orioles,2B,3800,8.06,8.61,48.013649881726884
110,Renato Nunez,Orioles,3B,3800,7.15,6.82,17.671124828532232
111,Aledmys Diaz,Blue Jays,SS,3800,6.84,6.59,48.558891966759006
112,Matt Duffy,Rays,3B,3800,8.08,6.83,41.769890260631
113,Josh Reddick,Astros,OF,3800,7.63,5.05,45.81431757016532
114,Elvis Andrus,Rangers,SS,3800,7.67,6.76,56.026729272051526
115,Ronald Guzman,Rangers,1B,3800,6.3,5.73,38.863286555002276
116,Nick Martini,Athletics,OF,3800,7.53,8.69,35.0
117,Melky Cabrera,Indians,OF,3700,6.89,5.82,49.506245598503675
118,Jason Kipnis,Indians,2B,3700,7.02,6.79,61.64437500599067
119,Greg Allen,Indians,OF,3700,5.63,5.67,20.25
120,Trey Mancini,Orioles,1B/OF,3700,7.62,7.55,47.71227709190672
121,Ji-Man Choi,Rays,1B,3700,8.37,6.53,21.278876170655565
122,Ryan O'Hearn,Royals,1B,3700,5.93,6.15,35.0
123,Robinson Cano,Mariners,2B,3700,8.17,6.37,68.60442572600444
124,Andrew McCutchen,Giants,OF,3700,8.61,6.91,77.87792899481917
125,Austin Jackson,Mets,OF,3700,7.29,7.19,52.40906701396308
126,Brandon Crawford,Giants,SS,3700,7.82,5.96,37.41285033554243
127,Avisail Garcia,White Sox,OF,3700,7.8,8.12,46.04751539561785
128,Mitch Garver,Twins,C,3700,7.35,7.4,23.499410430839
129,Brock Holt,Red Sox,2B/SS,3600,5.47,6.46,33.19954648526077
130,Russell Martin,Blue Jays,C,3600,6.95,7.5,48.91264820347848
131,Manny Pina,Brewers,C,3600,6.66,5.79,27.645707499846438
132,Jose Reyes,Mets,3B/SS,3600,7.16,6.41,78.22229857417764
133,Alen Hanson,Giants,2B/OF,3600,7.31,6.34,17.584571911712356
134,Kurt Suzuki,Braves,C,3600,6.58,4.76,35.320029836432404
135,Colin Moran,Pirates,3B,3600,6.96,6.26,26.599603199206395
136,Dansby Swanson,Braves,SS,3600,5.58,4.87,35.50685513869699
137,Robinson Chirinos,Rangers,C,3600,6.23,7.29,37.634583307270496
138,Stephen Piscotty,Athletics,OF,3600,7.23,7.55,51.07179175677729
139,Yandy Diaz,Indians,3B,3500,7.09,8.36,35.59436943407067
140,Kendrys Morales,Blue Jays,1B,3500,7.91,7.53,50.20861027888854
141,Danny Jansen,Blue Jays,C,3500,7.0,5.16,35.0
142,Jorge Bonifacio,Royals,OF,3500,6.57,6.05,38.83518266742687
143,Kevin Kiermaier,Rays,OF,3500,7.75,6.91,44.90276281179138
144,Marwin Gonzalez,Astros,OF/SS,3500,7.6,6.48,32.239802911104405
145,Mason Williams,Reds,OF,3500,5.85,5.83,35.0
146,Kolten Wong,Cardinals,2B,3500,5.58,3.62,34.266226200014664
147,Mark Canha,Athletics,OF,3500,7.06,5.83,38.80953250547845
148,Yan Gomes,Indians,C,3400,6.3,5.75,37.469237832874185
149,Tim Beckham,Orioles,3B/SS,3400,6.47,6.62,38.18339884973597
150,Dee Gordon,Mariners,2B/OF,3400,6.14,5.13,63.863984858170845
151,Jack Reinheimer,Mets,3B/OF,3400,5.16,5.06,35.0
152,Steven Duggar,Giants,OF,3400,6.3,5.13,35.0
153,Kyle Seager,Mariners,3B,3300,6.84,5.8,56.12295317437518
154,Joe Panik,Giants,2B,3300,7.57,7.25,44.36558399371326
156,Richard Urena,Blue Jays,SS,3200,5.52,4.02,35.0
157,Alex Gordon,Royals,OF,3200,6.4,6.5,51.63706122959785
