,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Jacob deGrom,Mets,SP,13400,22.44,22.1,24.05,115.69702675985748
1,Zack Godley,Diamondbacks,SP,9700,21.55,17.77,22.51,114.2683087191358
2,Alex Wood,Dodgers,SP,9200,19.07,18.95,19.43,107.15781573003424
3,Mike Trout,Angels,OF,5700,12.1,10.51,13.07,74.20919833889293
4,Paul Goldschmidt,Diamondbacks,1B,5100,9.96,8.98,9.82,70.29325887206649
5,David Peralta,Diamondbacks,OF,4900,9.57,9.03,9.06,58.249932321554745
6,Justin Upton,Angels,OF,4800,9.69,8.94,9.99,63.772749233310996
7,Joey Gallo,Rangers,1B/OF,4700,9.63,7.9,9.72,67.76047858558182
8,Rougned Odor,Rangers,2B,4600,9.58,10.0,9.97,62.546655872137144
9,Brandon Nimmo,Mets,OF,4600,6.06,5.21,5.4,54.58493685115378
10,Bryan Mitchell,Padres,SP,4500,8.34,8.87,6.23,38.763176909722254
11,Manny Machado,Dodgers,SS,4500,7.76,6.79,7.31,65.73975931166603
12,Eduardo Escobar,Diamondbacks,3B/SS,4400,8.33,8.74,7.83,46.18318663741814
13,Max Muncy,Dodgers,1B/3B,4400,6.91,5.97,6.27,48.62274125336401
14,Jurickson Profar,Rangers,3B/SS,4300,7.94,7.23,7.69,36.83555976331365
15,Daniel Descalso,Diamondbacks,2B/3B,4200,7.58,7.16,7.05,31.25133628465385
16,A.J. Pollock,Diamondbacks,OF,4200,9.55,9.44,9.53,68.32618597547936
17,Hunter Renfroe,Padres,OF,4200,7.35,7.05,7.17,61.94928512537963
18,Nomar Mazara,Rangers,OF,4200,8.32,8.03,8.62,46.788561116212655
19,Justin Turner,Dodgers,3B,4200,7.66,7.3,7.04,44.48660850496388
20,Todd Frazier,Mets,3B,4200,7.24,6.77,7.91,58.970083862461
21,Wil Myers,Padres,3B/OF,4100,7.74,8.52,7.42,62.67416725143597
22,Travis Jankowski,Padres,OF,4100,7.38,7.72,6.41,38.44234244946489
23,Andrelton Simmons,Angels,SS,4100,8.43,7.72,7.23,36.29858795443712
24,Kole Calhoun,Angels,OF,4000,8.14,7.95,9.15,53.87352289184639
25,Ketel Marte,Diamondbacks,2B/SS,3900,7.39,6.58,6.86,36.60219556360342
26,Adrian Beltre,Rangers,3B,3900,7.87,7.8,7.93,57.87583665535814
27,Wilmer Flores,Mets,1B,3800,7.61,7.55,7.6,44.353723888917855
28,Joc Pederson,Dodgers,OF,3800,7.73,8.2,7.28,51.224720541117776
29,Jefry Marte,Angels,1B/3B,3700,7.78,7.07,6.76,40.104935137690134
30,Ronald Guzman,Rangers,1B,3700,6.99,5.68,6.77,53.156478277585535
31,Cody Bellinger,Dodgers,1B/OF,3700,7.85,7.55,7.35,74.43111512855826
32,Eric Hosmer,Padres,1B,3600,7.62,7.81,6.61,48.90587403045087
33,Luis Urias,Padres,2B,3600,6.84,6.67,5.77,35.0
34,Robinson Chirinos,Rangers,C,3600,7.44,7.58,7.85,49.65404593782968
35,Elvis Andrus,Rangers,SS,3600,8.32,6.42,8.14,43.603357270182535
36,David Fletcher,Angels,2B/3B,3600,8.64,7.44,7.38,26.46460065507685
37,Yasmani Grandal,Dodgers,C,3600,6.73,6.54,6.4,54.607704370243184
38,Brian Dozier,Dodgers,2B,3600,6.86,4.95,6.17,57.534863102154105
39,Michael Conforto,Mets,OF,3600,6.29,5.87,6.75,57.8771937500001
40,Amed Rosario,Mets,SS,3600,6.88,5.93,6.65,45.23644537587889
41,Taylor Ward,Angels,3B,3500,7.64,7.04,6.78,35.0
42,Yasiel Puig,Dodgers,OF,3500,6.55,5.09,5.64,58.37891895442277
43,Austin Hedges,Padres,C,3400,6.04,6.86,5.92,42.0476935953872
44,Manuel Margot,Padres,OF,3400,6.2,5.52,5.83,50.4306342907534
45,Freddy Galvis,Padres,SS,3200,5.87,5.34,5.13,40.56101021519649
46,Jose Briceno,Angels,C,3200,7.28,7.69,6.34,35.0
47,Austin Jackson,Mets,OF,3200,5.82,6.6,5.18,44.160340854600626
48,Alex Avila,Diamondbacks,C,3100,6.51,6.84,6.01,40.094894375456406
49,Jay Bruce,Mets,OF,3100,6.63,5.92,6.65,65.27586620265807
50,Devin Mesoraco,Mets,C,3000,5.91,4.63,6.19,46.10397575007967
