,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
0,Nolan Arenado,Rockies,3B,11.87,5800,15.6,13.735,0.5064761558063343
1,Trevor Story,Rockies,SS,10.92,5400,15.65,13.285,0.8420361309747838
2,Joey Votto,Reds,1B,10.76,5000,13.29,12.024999999999999,0.26614968814968804
3,Alex Bregman,Astros,3B,10.77,5500,13.49,12.129999999999999,0.30496290189612546
4,Scott Schebler,Reds,RF,10.53,4600,12.9,11.715,0.23973111395646626
5,Andrew McCutchen,Giants,RF,10.54,4800,14.18,12.36,0.5359870550161815
6,George Springer,Astros,CF,10.51,4900,14.16,12.335,0.5400283745439806
7,Brandon Belt,Giants,1B,10.43,5500,11.29,10.86,0.034051565377532185
8,Jose Altuve,Astros,2B,10.51,5000,14.81,12.66,0.7302527646129544
9,Charlie Blackmon,Rockies,CF,10.51,5700,13.44,11.975,0.3584509394572024
10,Scooter Gennett,Reds,2B,10.08,5100,11.61,10.844999999999999,0.10792531120331941
11,Buster Posey,Giants,C,9.94,4900,13.56,11.75,0.5576340425531918
12,Eugenio Suarez,Reds,3B,9.8,5100,12.56,11.18,0.34067978533094806
13,Evan Gattis,Astros,DH,9.77,4100,10.36,10.065,0.017292598112270238
14,Curtis Granderson,Blue Jays,LF,9.48,4000,13.06,11.27,0.5686069210292813
15,Jose Ramirez,Indians,3B,9.49,5700,13.74,11.615,0.777550581145071
16,DJ LeMahieu,Rockies,2B,9.62,4900,13.32,11.469999999999999,0.5967741935483876
17,Jose Abreu,White Sox,1B,9.4,4600,11.22,10.31,0.1606401551891368
18,Gorkys Hernandez,Giants,LF,9.47,4200,12.55,11.010000000000002,0.4308083560399636
19,Ian Desmond,Rockies,1B,9.33,4300,14.11,11.719999999999999,0.9747610921501705
20,Teoscar Hernandez,Blue Jays,RF,9.19,4400,11.92,10.555,0.35305068687825686
21,Francisco Lindor,Indians,SS,9.25,5900,12.96,11.105,0.6197253489419183
22,Yoan Moncada,White Sox,2B,9.08,4400,12.2,10.64,0.45744360902255615
23,Max Muncy,Dodgers,1B,8.89,4900,11.41,10.15,0.31282758620689644
24,Paul Goldschmidt,Diamondbacks,1B,9.03,5200,12.88,10.955,0.6765175718849845
25,Michael Brantley,Indians,LF,9.12,4700,11.9,10.51,0.36766888677450077
26,Cody Bellinger,Dodgers,1B,8.78,4800,11.82,10.3,0.4486213592233012
27,A.J. Pollock,Diamondbacks,CF,8.89,4600,10.38,9.635000000000002,0.11521017125064868
28,Justin Smoak,Blue Jays,1B,8.69,4100,11.6,10.145,0.41735337604731404
29,Tommy Pham,Cardinals,CF,8.82,4100,10.07,9.445,0.08271572260455268
30,Alen Hanson,Giants,2B,8.87,4300,10.55,9.71,0.1453347064881568
31,Joc Pederson,Dodgers,LF,8.71,4500,10.44,9.575,0.1562872062663183
32,Marcell Ozuna,Cardinals,LF,8.8,3800,9.23,9.015,0.010255130338325
33,Brandon Crawford,Giants,SS,8.7,5300,10.04,9.37,0.0958164354322305
34,Jose Martinez,Cardinals,1B,8.65,4500,9.56,9.105,0.045475013728720495
35,Avisail Garcia,White Sox,RF,8.65,4200,10.06,9.355,0.10625868519508286
36,Edwin Encarnacion,Indians,DH,8.48,4900,11.73,10.105,0.522637308263236
37,Jake Lamb,Diamondbacks,3B,8.49,4300,10.79,9.64,0.2743775933609956
38,Elvis Andrus,Rangers,SS,8.6,3700,9.28,8.94,0.025861297539149865
39,Justin Turner,Dodgers,3B,8.45,4100,11.13,9.79,0.36682328907048056
40,Jesse Winker,Reds,RF,8.39,3900,9.32,8.855,0.048836815358554456
41,Tucker Barnhart,Reds,C,8.43,3600,9.53,8.98,0.06737193763919816
42,Nomar Mazara,Rangers,RF,8.41,4400,9.23,8.82,0.03811791383219957
43,Hunter Pence,Giants,LF,8.45,3600,10.48,9.465,0.21769149498151105
44,Chris Iannetta,Rockies,C,8.26,3700,10.62,9.44,0.2949999999999999
45,Pablo Sandoval,Giants,DH,8.32,3800,8.97,8.645,0.024436090225563936
46,Yolmer Sanchez,White Sox,3B,8.42,4200,10.23,9.325,0.17566219839142105
47,Randal Grichuk,Blue Jays,RF,8.22,3700,9.14,8.68,0.04875576036866359
48,Joey Gallo,Rangers,LF,8.14,4000,8.73,8.435,0.0206342620035566
