,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Luis Severino,Yankees,SP,11900,20.99,20.52,26.98,139.75609331602467
1,Zack Wheeler,Mets,SP,10400,13.72,17.1,14.26,94.68292552227993
2,Jameson Taillon,Pirates,SP,9900,16.25,11.96,16.69,95.31860349716447
3,Tyler Glasnow,Rays,SP,9500,16.53,17.59,16.4,50.56470438054285
4,Hyun-Jin Ryu,Dodgers,SP,9200,18.44,19.48,17.21,106.7888215493298
5,Michael Kopech,White Sox,SP,9000,20.41,13.8,17.13,80.0
6,Miles Mikolas,Cardinals,SP,8200,13.21,13.86,11.83,108.58230895996094
7,Nick Pivetta,Phillies,SP,8200,19.04,17.12,20.34,142.8815316838733
8,Jhoulys Chacin,Brewers,SP,8000,13.55,12.09,14.26,100.43917517947277
9,Tanner Roark,Nationals,SP,7800,16.26,17.39,16.2,108.13771596073721
10,Jose Quintana,Cubs,SP,7700,13.71,17.61,14.36,97.50660640484259
11,Mike Fiers,Athletics,SP,7500,14.1,14.64,14.75,115.2586957468428
12,Jordan Zimmermann,Tigers,SP,7300,13.62,13.67,13.01,109.60032022074141
13,Framber Valdez,Astros,SP,7100,16.68,13.12,15.72,80.0
14,Andrew Suarez,Giants,SP,6900,10.81,9.22,5.09,67.72863421550096
15,Jake Odorizzi,Twins,SP,6400,11.52,14.52,10.12,91.7420031023997
16,Mike Leake,Mariners,SP,6200,16.72,13.8,17.81,98.16825883120993
17,Jaime Barria,Angels,SP,6000,9.44,12.59,7.45,80.0
18,Trevor Story,Rockies,SS,5800,10.28,11.61,11.69,69.12111781152772
19,Sandy Alcantara,Marlins,SP,5700,12.83,12.4,12.14,80.0
20,Javier Baez,Cubs,2B/SS,5600,9.2,7.84,7.38,64.88382445444428
21,Anthony Rizzo,Cubs,1B,5500,9.03,8.81,8.96,63.54446003094753
22,Shohei Ohtani,Angels,OF,5400,9.97,13.61,11.57,68.07609988109395
23,Alex Bregman,Astros,3B/SS,5400,9.31,7.7,9.1,54.48213399943312
24,Antonio Senzatela,Rockies,SP,5300,14.45,11.48,12.31,65.59793876824493
25,Aaron Sanchez,Blue Jays,SP,5200,12.4,14.03,13.8,87.79359923381121
26,Nolan Arenado,Rockies,3B,5200,10.58,10.95,12.19,71.59348856354534
27,Gregory Polanco,Pirates,OF,5200,9.34,9.26,9.73,54.01205936920215
28,Charlie Blackmon,Rockies,OF,5100,9.31,8.67,10.63,63.15343735396107
29,Bartolo Colon,Rangers,SP,5000,9.71,9.4,7.43,128.64986635016018
30,DJ LeMahieu,Rockies,2B,5000,8.75,9.13,9.44,42.598873179251
31,Andrew Cashner,Orioles,SP,5000,9.21,12.23,7.74,95.87943742791242
32,Starling Marte,Pirates,OF,5000,10.01,9.16,10.41,59.28151277745514
33,Matt Carpenter,Cardinals,1B/3B,4900,9.54,8.47,9.69,54.68226765016636
34,Lorenzo Cain,Brewers,OF,4900,8.78,8.63,8.29,52.53621106138211
35,Giancarlo Stanton,Yankees,OF,4900,9.17,9.0,8.58,75.00133848852028
36,Bryce Harper,Nationals,OF,4800,9.11,9.55,10.11,67.4759832182376
37,Trea Turner,Nationals,SS,4800,9.04,7.96,8.48,83.89733633328525
38,Rougned Odor,Rangers,2B,4800,9.76,9.76,9.86,62.546655872137144
39,Jesus Aguilar,Brewers,1B,4800,8.84,7.48,8.19,65.24809329390222
40,Brandon Nimmo,Mets,OF,4800,6.04,5.41,6.02,54.58493685115378
41,Justin Turner,Dodgers,3B,4800,8.85,7.17,8.48,44.48660850496388
42,Homer Bailey,Reds,SP,4800,8.91,9.61,7.81,147.23185381235822
43,Juan Soto,Nationals,OF,4700,8.09,7.92,8.52,65.5558641585658
44,Brandon Belt,Giants,1B,4700,9.32,10.2,10.01,52.33787333154221
45,Mitch Haniger,Mariners,OF,4700,9.09,8.29,9.05,62.371523668639014
46,Kris Bryant,Cubs,3B,4700,8.48,7.18,7.45,72.27763834572964
47,Adam Frazier,Pirates,2B/OF,4700,8.83,8.23,7.69,43.19365616068926
48,Adam Eaton,Nationals,OF,4600,7.86,8.33,8.01,46.475887096774166
49,Mallex Smith,Rays,OF,4600,10.07,8.52,8.89,50.2536449192245
50,Joey Gallo,Rangers,1B/OF,4600,9.95,8.11,9.66,67.76047858558182
51,Nomar Mazara,Rangers,OF,4600,8.46,7.1,8.88,46.788561116212655
52,Evan Longoria,Giants,3B,4600,8.18,8.61,9.12,57.660725949346926
53,Jean Segura,Mariners,SS,4600,8.98,7.72,8.18,54.14257850670632
54,Max Muncy,Dodgers,1B/3B,4600,8.88,6.86,8.52,48.62274125336401
55,Scooter Gennett,Reds,2B,4600,8.44,7.11,7.87,51.92850366929999
56,J.T. Realmuto,Marlins,C,4600,7.73,7.13,7.32,52.97886137654499
57,Rhys Hoskins,Phillies,OF,4600,9.08,8.69,8.06,71.58729686880697
58,Jurickson Profar,Rangers,3B/SS,4500,7.92,6.89,7.74,36.83555976331365
59,Jose Altuve,Astros,2B,4500,9.17,9.58,9.18,57.03701249400637
60,Ian Desmond,Rockies,1B,4500,8.11,9.69,9.43,51.2780630926756
