,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
126,Paul DeJong,Cardinals,SS,4000,7.71,6.63,7.01,51.95198745881596
127,Brian Goodwin,Royals,OF,4000,7.06,6.33,7.19,50.44763749380656
128,John Andreoli,Orioles,OF,4000,7.16,6.28,6.45,35.0
129,Brian Dozier,Dodgers,2B,4000,8.1,6.84,8.11,57.534863102154105
130,Cesar Hernandez,Phillies,2B,4000,5.87,6.19,5.89,37.071150250696036
131,Francisco Cervelli,Pirates,C,3900,8.09,7.37,7.18,34.50691348498714
132,Dansby Swanson,Braves,SS,3900,6.32,4.98,5.69,39.99413876802278
133,Ryan Braun,Brewers,1B/OF,3900,7.92,6.4,8.21,77.15661534098072
134,Yoan Moncada,White Sox,2B,3900,6.87,6.5,6.34,56.9891599707816
135,Joe Mauer,Twins,1B,3900,8.34,7.36,8.14,45.36180609390832
136,Mitch Garver,Twins,C,3900,7.61,7.5,7.37,40.06688456632655
137,Michael Brantley,Indians,OF,3900,7.8,5.99,7.54,45.95842624152247
138,Josh Reddick,Astros,OF,3900,8.36,6.43,7.17,54.949033896495855
139,Andrelton Simmons,Angels,SS,3900,7.29,5.21,6.51,36.29858795443712
140,Yadier Molina,Cardinals,C,3900,7.88,7.51,7.28,39.46982582490171
141,Billy Hamilton,Reds,OF,3900,8.25,8.34,7.17,59.45389074578142
142,Eduardo Escobar,Diamondbacks,3B/SS,3900,6.18,5.93,6.19,46.18318663741814
143,Kevin Pillar,Blue Jays,OF,3900,7.7,6.98,6.33,44.17611182682537
144,Asdrubal Cabrera,Phillies,2B/SS,3900,6.98,6.51,6.9,49.327867202561514
145,Nick Williams,Phillies,OF,3900,7.76,6.45,7.2,47.41473546640525
146,Corey Dickerson,Pirates,OF,3800,8.95,6.44,7.48,59.56100530404989
147,Josh Bell,Pirates,1B,3800,7.93,6.44,6.52,44.07045805261768
148,Ian Kinsler,Red Sox,2B,3800,8.03,6.78,8.46,58.964040097327455
149,Avisail Garcia,White Sox,OF,3800,7.53,7.71,8.01,52.86025600949854
150,Robinson Chirinos,Rangers,C,3800,6.67,5.88,7.04,49.65404593782968
151,Francisco Arcia,Angels,C,3800,5.62,7.68,4.96,35.0
152,Kole Calhoun,Angels,OF,3800,7.72,8.35,7.59,53.87352289184639
153,Matt Holliday,Rockies,OF,3800,7.09,6.41,7.23,64.01581549156046
154,Eric Hosmer,Padres,1B,3800,6.67,6.47,6.96,48.90587403045087
155,Teoscar Hernandez,Blue Jays,OF,3800,7.99,7.23,6.48,58.75827508059625
156,Maikel Franco,Phillies,3B,3800,6.65,6.18,6.48,57.0308157453141
157,Ian Happ,Cubs,OF,3800,7.51,6.97,6.94,55.971264897124655
158,Matt Davidson,White Sox,1B/3B,3700,7.07,6.97,7.01,64.82135204203102
159,Robbie Grossman,Twins,OF,3700,6.81,4.89,7.08,38.66420021085485
160,Jake Cave,Twins,OF,3700,7.99,6.57,6.64,51.20915712799167
161,Tony Kemp,Astros,OF,3700,7.63,4.39,5.89,29.88888888888885
162,Tucker Barnhart,Reds,C,3700,6.32,5.56,5.97,29.817370193437306
163,Harrison Bader,Cardinals,OF,3700,7.04,6.06,6.28,43.84729138373329
164,Alex Gordon,Royals,OF,3700,7.34,7.82,7.92,45.686341938509074
165,Ryan O'Hearn,Royals,1B,3700,7.56,7.61,7.07,35.0
166,Luis Urias,Padres,2B,3700,5.85,5.51,5.82,35.0
167,Ramon Laureano,Athletics,OF,3700,6.76,5.74,5.7,35.0
168,Dee Gordon,Mariners,2B/OF,3700,6.9,6.25,6.28,53.64192335607493
169,Colin Moran,Pirates,3B,3600,7.46,5.31,5.58,32.99061728395061
170,Manny Pina,Brewers,C,3600,5.87,4.92,5.87,35.78204076962684
171,Yolmer Sanchez,White Sox,3B,3600,5.99,5.02,5.24,34.701131733816105
172,Elvis Andrus,Rangers,SS,3600,7.85,7.87,7.81,43.603357270182535
