,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Jack Flaherty,Cardinals,SP,10900,16.94,17.36,16.09,109.22038461538463
1,Walker Buehler,Dodgers,SP,10400,19.34,16.33,21.23,153.35286349826387
2,Noah Syndergaard,Mets,SP,10200,22.61,23.78,24.49,101.83662514020186
3,Clay Buchholz,Diamondbacks,SP,10000,14.74,13.92,16.94,135.11293454287184
4,Stephen Strasburg,Nationals,SP,9900,21.36,17.51,19.82,127.309215449954
5,Carlos Carrasco,Indians,SP,9500,18.56,20.21,15.21,178.2654879927274
6,Zach Eflin,Phillies,SP,8600,10.6,14.6,9.33,138.73766025641027
7,Jon Lester,Cubs,SP,8200,12.69,17.08,12.71,133.55470072153196
8,Julio Teheran,Braves,SP,8100,12.52,15.24,11.35,108.07964695137305
9,Lance Lynn,Yankees,SP,8000,17.98,14.88,20.07,113.04901254988457
10,Jon Gray,Rockies,SP,7800,21.22,14.06,19.3,153.51615988416398
11,Jakob Junis,Royals,SP,7200,15.63,14.91,15.23,74.21810843699295
12,Trevor Williams,Pirates,SP,6800,11.37,14.13,9.87,92.24426834027054
13,Brian Johnson,Red Sox,SP,6300,12.14,13.77,10.4,96.380253834916
14,Jose Ramirez,Indians,3B,6000,9.21,8.83,10.48,57.118659027436635
15,Mookie Betts,Red Sox,OF,5800,8.83,8.68,9.95,79.89596880163923
16,Trevor Richards,Marlins,SP,5800,16.89,12.0,19.35,80.0
17,Francisco Lindor,Indians,SS,5700,8.88,8.96,10.02,65.65139715583231
18,J.D. Martinez,Red Sox,OF,5600,8.52,8.48,9.83,57.34248200984725
19,David Peralta,Diamondbacks,OF,5500,9.39,9.48,9.24,44.67775892276291
20,Paul Goldschmidt,Diamondbacks,1B,5500,9.41,9.24,9.62,74.69714707605391
21,Nolan Arenado,Rockies,3B,5400,10.28,11.15,11.95,62.894222222222226
22,Charlie Blackmon,Rockies,OF,5400,10.72,10.99,11.85,60.28774595114759
23,Carlos Gonzalez,Rockies,OF,5300,9.63,10.81,10.59,57.982519340585135
24,Travis Jankowski,Padres,OF,5300,7.72,9.16,7.94,21.26315474035136
25,Trevor Story,Rockies,SS,5300,9.87,10.58,11.56,59.73483054982174
26,Giancarlo Stanton,Yankees,OF,5300,9.02,9.78,8.17,65.85411736493182
27,A.J. Pollock,Diamondbacks,OF,5100,9.7,9.71,9.6,51.36967676856278
28,Freddie Freeman,Braves,1B,5100,9.68,8.5,10.02,56.92307357859785
29,Bryce Harper,Nationals,OF,5000,9.96,9.74,11.21,64.767789238723
30,Eric Hosmer,Padres,1B,5000,8.38,8.4,8.79,46.34090088411048
31,Javier Baez,Cubs,2B/SS,5000,10.61,9.98,10.69,39.24572761349438
32,Casey Kelly,Giants,SP,5000,13.49,11.65,11.43,61.70708677685951
33,Miguel Andujar,Yankees,3B,5000,8.15,8.33,6.42,51.634817581154834
34,Eduardo Escobar,Diamondbacks,3B/SS,4900,8.77,7.73,8.34,27.674882132444814
35,Andrew Benintendi,Red Sox,OF,4900,8.06,8.03,8.98,60.5335643173545
36,Michael Brantley,Indians,OF,4900,7.94,7.74,8.27,49.18919037144548
37,Wil Myers,Padres,OF,4900,8.71,8.99,9.27,52.234317315219315
38,Francisco Liriano,Tigers,SP,4900,9.44,11.61,8.07,151.9816597251145
39,DJ LeMahieu,Rockies,2B,4800,8.32,8.58,9.75,37.24076465028356
40,Matt Carpenter,Cardinals,1B/3B,4800,9.15,7.63,8.85,51.759736514036284
41,Aaron Hicks,Yankees,OF,4800,8.11,7.43,6.6,33.022225702874145
42,Rhys Hoskins,Phillies,OF,4700,8.59,7.79,8.76,71.41909274563822
43,Edwin Encarnacion,Indians,1B,4700,7.76,7.73,9.45,54.8264092764204
44,Cory Spangenberg,Padres,2B/3B,4700,7.79,7.42,7.52,25.83220179855836
45,Max Muncy,Dodgers,1B/3B,4700,7.89,6.87,7.94,27.35662346362957
46,Manny Machado,Dodgers,SS,4700,8.85,8.27,8.07,56.31805911775089
47,J.T. Realmuto,Marlins,C,4700,7.29,6.63,6.58,40.325776938660624
48,Daniel Descalso,Diamondbacks,2B/3B,4600,8.05,8.0,7.66,14.651623431837413
49,Ian Desmond,Rockies,1B,4600,7.81,10.1,9.49,45.09704996026434
