,Name,Team,Position,Salary,DKFG,DKRoto,Var
120,Yairo Munoz,Cardinals,SS,4000,6.86,5.39,32.111111111111114
121,Matt Duffy,Rays,3B,4000,8.29,7.53,43.671817698272726
122,Yonder Alonso,Indians,1B,4000,8.79,7.45,33.728345453651514
123,Jose Bautista,Mets,3B/OF,4000,6.74,6.69,63.35674431961116
124,J.T. Realmuto,Marlins,C,4000,6.41,5.71,51.250060092542526
125,Daniel Murphy,Nationals,1B/2B,4000,8.14,7.31,51.35369246942633
126,Derek Dietrich,Marlins,OF,4000,6.83,6.02,36.61484798000833
127,Matt Kemp,Dodgers,OF,3900,8.63,7.03,67.6472892937273
128,Brian Dozier,Twins,2B,3900,6.96,6.51,72.67477420408684
129,Kendrys Morales,Blue Jays,1B,3900,7.41,7.32,50.1008513765617
130,Daniel Palka,White Sox,OF,3900,7.46,6.87,42.42585829072315
131,Nick Williams,Phillies,OF,3900,8.39,8.3,46.181523875592546
132,Evan Gattis,Astros,C,3900,8.05,7.97,54.097696603822314
133,Daniel Robertson,Rays,2B/SS,3900,6.94,6.38,39.70518217448106
134,Ryon Healy,Mariners,1B,3900,8.01,7.79,54.815169167856176
135,Ketel Marte,Diamondbacks,2B/SS,3900,7.18,7.27,37.390217683418435
136,Chris Taylor,Dodgers,OF/SS,3800,7.69,6.59,47.755373961218844
137,Cody Bellinger,Dodgers,1B/OF,3800,9.07,7.55,63.740101791261814
138,Eduardo Escobar,Twins,3B/SS,3800,6.51,6.22,34.550696902110055
139,Joe Mauer,Twins,1B,3800,5.9,6.48,63.51199809904718
140,Jose Abreu,White Sox,1B,3800,7.88,8.54,70.18517994567678
141,Tim Anderson,White Sox,SS,3800,6.21,5.65,56.6235462897958
142,Adam Duvall,Reds,OF,3800,7.73,5.94,43.23733444398167
143,Maikel Franco,Phillies,3B,3800,8.39,7.26,46.97520710059171
144,Phillip Ervin,Reds,OF,3800,6.9,5.88,26.7538644470868
145,Jurickson Profar,Rangers,3B/SS,3800,6.4,6.8,30.005274047628703
146,Yadier Molina,Cardinals,C,3800,7.93,7.32,38.406353921051604
147,Jonathan Schoop,Orioles,2B,3800,7.21,7.07,46.92044296548802
148,Andrew McCutchen,Giants,OF,3800,7.58,7.35,79.0720574802157
149,Mitch Haniger,Mariners,OF,3800,8.98,7.97,48.30824397240625
150,Adalberto Mondesi,Royals,2B/SS,3800,6.65,4.47,32.0356
151,Josh Harrison,Pirates,2B,3800,8.03,6.93,39.04783001609028
152,Brian Anderson,Marlins,3B/OF,3800,6.17,5.34,52.5625
153,Curtis Granderson,Blue Jays,OF,3700,8.6,8.49,67.75451586572798
154,Buster Posey,Giants,C,3700,7.35,6.77,63.05754942019722
155,Albert Pujols,Angels,1B,3700,7.84,7.35,90.80649001528285
156,Dee Gordon,Mariners,2B/OF,3700,7.96,7.48,56.83662793622052
157,Neil Walker,Yankees,1B/2B,3700,7.13,5.59,48.270861000600036
158,Justin Bour,Marlins,1B,3700,6.28,6.07,45.20649084539626
159,Nick Markakis,Braves,OF,3600,6.42,6.21,54.629489619377175
160,Robbie Grossman,Twins,OF,3600,5.38,5.98,44.42735207100593
161,Yangervis Solarte,Blue Jays,2B/3B,3600,7.17,6.9,42.090641348940494
162,Paul DeJong,Cardinals,SS,3600,8.52,8.62,61.30178202479339
