,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Mike Foltynewicz,Braves,SP,11100,18.74,17.93,21.63,128.4537076003704
1,Mike Clevinger,Indians,SP,10600,19.71,19.46,17.39,103.61317291535391
2,Dereck Rodriguez,Giants,SP,10100,16.84,17.95,16.81,80.0
3,Rich Hill,Dodgers,SP,9800,22.18,22.86,21.86,136.11406376314378
4,Dallas Keuchel,Astros,SP,9200,14.62,17.58,19.47,121.9014787445357
5,CC Sabathia,Yankees,SP,9000,13.97,14.69,14.01,125.1919051482297
6,Jake Arrieta,Phillies,SP,8800,13.9,13.93,16.14,139.10670128580495
7,Joe Musgrove,Pirates,SP,8600,13.28,11.39,13.98,84.60418083900227
8,Zack Godley,Diamondbacks,SP,8500,15.99,15.33,17.87,115.16760968168907
9,Andrew Heaney,Angels,SP,8400,12.88,16.84,14.72,102.21295953360769
10,Sean Manaea,Athletics,SP,8200,13.83,16.8,12.49,112.5246109375
11,Michael Fulmer,Tigers,SP,7700,18.3,14.12,14.83,110.68705880102036
12,Jake Odorizzi,Twins,SP,7500,14.57,15.9,14.33,92.23127325702393
13,Miles Mikolas,Cardinals,SP,7100,12.17,12.83,9.5,111.40232635275751
14,Wade Miley,Brewers,SP,6900,14.67,13.49,11.61,113.70983594125588
15,Dan Straily,Marlins,SP,6800,14.66,12.06,18.88,95.84885390248951
16,Drew Hutchison,Rangers,SP,6600,12.96,12.44,7.72,142.3437645806207
17,Gio Gonzalez,Nationals,SP,6400,16.13,17.3,17.45,110.81936367956769
18,Brad Keller,Royals,SP,6200,8.05,10.03,8.64,77.21882653061225
19,Hector Velazquez,Red Sox,SP,6000,11.62,9.66,11.67,34.95036286157025
20,Ryan Borucki,Blue Jays,SP,5900,9.5,9.31,9.22,80.0
21,David Peralta,Diamondbacks,OF,5800,9.29,9.43,8.87,44.67775892276291
22,Matt Carpenter,Cardinals,1B/3B,5800,10.72,9.4,10.62,51.759736514036284
23,Reynaldo Lopez,White Sox,SP,5800,13.5,11.98,14.0,110.35944860537191
24,Paul Goldschmidt,Diamondbacks,1B,5700,9.43,8.08,9.15,74.69714707605391
25,J.D. Martinez,Red Sox,OF,5700,9.94,7.62,9.56,57.34248200984725
26,Mookie Betts,Red Sox,OF,5700,10.22,7.16,9.96,79.89596880163923
27,Jose Ramirez,Indians,3B,5700,10.3,7.98,10.2,57.118659027436635
28,Antonio Senzatela,Rockies,SP,5500,11.75,7.51,11.03,65.56924556213018
29,Charlie Blackmon,Rockies,OF,5400,10.23,9.99,10.82,60.28774595114759
30,Clayton Richard,Padres,SP,5400,9.3,11.33,6.57,106.09338896780304
31,Khris Davis,Athletics,OF,5300,10.32,9.27,10.75,51.54747100858543
32,Nolan Arenado,Rockies,3B,5200,9.92,8.95,10.45,62.894222222222226
33,Trevor Story,Rockies,SS,5200,9.62,7.9,9.92,59.73483054982174
34,Alex Cobb,Orioles,SP,5200,10.19,12.46,13.52,117.26603671103764
35,Giancarlo Stanton,Yankees,OF,5200,10.63,8.64,9.87,65.85411736493182
36,Bryce Harper,Nationals,OF,5200,9.32,8.07,9.83,64.767789238723
37,Freddie Freeman,Braves,1B,5200,9.99,7.74,8.17,56.92307357859785
38,Xander Bogaerts,Red Sox,SS,5100,7.93,6.21,7.45,46.98291420118343
39,David Dahl,Rockies,OF,5100,8.71,8.37,8.38,41.301508916323726
40,Ryan Zimmerman,Nationals,1B,5100,10.09,7.86,8.89,52.786261023880265
