,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Trevor Bauer,Indians,SP,13300,19.78,21.42,141.76037793578178
1,Tyler Skaggs,Angels,SP,11300,18.19,19.46,99.38627250692518
2,Charlie Morton,Astros,SP,11100,18.34,19.89,117.87102134822285
3,Masahiro Tanaka,Yankees,SP,10300,19.53,19.6,127.78667107779518
4,Jon Gray,Rockies,SP,9600,19.0,15.27,157.50012164783263
5,Jack Flaherty,Cardinals,SP,9400,20.83,18.22,107.61615831611573
6,Tanner Roark,Nationals,SP,9100,15.95,14.97,108.35641393996752
7,Kyle Gibson,Twins,SP,8700,12.49,11.14,112.12342754177324
8,Walker Buehler,Dodgers,SP,8500,15.91,17.27,148.3340625
9,Jon Lester,Cubs,SP,8300,14.5,18.33,131.9553540951424
10,Jameson Taillon,Pirates,SP,7800,16.09,14.8,97.1343650817871
11,Danny Duffy,Royals,SP,7700,17.02,15.48,105.52125113811731
12,Trevor Cahill,Athletics,SP,7400,15.66,14.81,104.7599465862025
13,Zack Godley,Diamondbacks,SP,7200,21.47,18.38,111.30106823979594
14,Steven Matz,Mets,SP,6900,12.88,12.32,104.74204649287823
16,Jake Arrieta,Phillies,SP,6200,10.46,12.88,140.26346843211778
17,Dan Straily,Marlins,SP,6100,11.65,11.46,96.98334691358022
18,Mookie Betts,Red Sox,OF,6000,10.23,9.73,79.10937570379677
19,James Shields,White Sox,SP,6000,16.01,12.36,125.06004691804415
20,Drew Pomeranz,Red Sox,SP,5900,12.55,13.74,88.16724895446455
21,Mike Trout,Angels,OF,5900,10.85,10.53,74.21956026608764
22,Christian Yelich,Brewers,OF,5800,9.04,7.77,51.53741768073096
23,J.D. Martinez,Red Sox,OF,5700,9.91,9.4,65.8365419216732
24,Mike Leake,Mariners,SP,5700,11.44,13.02,99.4244714412426
25,Andrew Benintendi,Red Sox,OF,5600,9.57,9.66,68.96736758579645
26,Sam Gaviglio,Blue Jays,SP,5600,12.14,12.4,60.7132414151925
27,Rhys Hoskins,Phillies,OF,5500,10.02,9.97,75.95938168846615
28,Wade Miley,Brewers,SP,5500,11.26,12.15,114.69632132659136
29,Jose Ramirez,Indians,3B,5400,9.63,10.3,67.19946260817275
30,Yefry Ramirez,Orioles,SP,5300,9.98,10.57,27.01286458333332
31,Francisco Lindor,Indians,SS,5300,9.14,10.28,65.86368437154019
32,A.J. Pollock,Diamondbacks,OF,5200,9.22,9.92,69.68248028515198
33,Javier Baez,Cubs,2B/SS,5100,8.27,7.66,62.9282684445165
34,Khris Davis,Athletics,OF,5100,8.83,9.46,68.27333333333326
35,Ozzie Albies,Braves,2B,5000,9.09,8.49,68.35153482880753
36,Juan Soto,Nationals,OF,5000,8.85,7.11,79.156564205688
37,Matt Carpenter,Cardinals,1B/3B,5000,8.58,8.55,53.95626620848895
38,Starling Marte,Pirates,OF,5000,9.13,8.18,59.74053128689511
39,Rougned Odor,Rangers,2B,4900,7.71,7.98,60.86060351466789
40,J.T. Realmuto,Marlins,C,4900,8.52,7.19,53.098949038270895
41,Bryce Harper,Nationals,OF,4900,8.54,8.14,67.62627442150307
42,Eugenio Suarez,Reds,3B,4900,8.7,8.47,56.30194754912709
43,Giancarlo Stanton,Yankees,OF,4900,11.01,9.97,75.81052436663555
44,Didi Gregorius,Yankees,SS,4900,9.15,8.31,47.91223345350448
45,Anthony Rizzo,Cubs,1B,4900,8.65,8.73,63.074993849304064
46,Paul Goldschmidt,Diamondbacks,1B,4800,9.82,10.22,70.02255085059147
47,Nolan Arenado,Rockies,3B,4800,9.23,8.16,72.35333300534752
48,Charlie Blackmon,Rockies,OF,4800,9.71,9.46,63.70018325617281
49,Manny Machado,Dodgers,SS,4800,9.83,9.95,65.92523978330453
50,Eduardo Escobar,Diamondbacks,3B/SS,4700,7.9,8.17,46.211574260487964
51,Freddie Freeman,Braves,1B,4700,10.11,9.72,59.64717124272626
52,Alex Bregman,Astros,3B,4700,9.26,8.65,54.07140687676085
53,Aaron Hicks,Yankees,OF,4700,9.0,7.72,48.14500462923989
54,Ben Zobrist,Cubs,2B/OF,4700,7.2,6.81,51.10950402830692
55,David Peralta,Diamondbacks,OF,4600,8.83,9.72,55.145487315787456
56,Joey Gallo,Rangers,1B/OF,4600,7.56,8.55,65.01302869240122
57,Xander Bogaerts,Red Sox,SS,4600,7.41,6.94,48.03161690443146
