,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Justin Verlander,Astros,SP,13400,28.4,26.92,125.53968032556787
1,Jacob deGrom,Mets,SP,12900,19.77,21.92,114.61253983507969
2,Patrick Corbin,Diamondbacks,SP,10700,21.09,19.82,119.56334450683599
3,Rick Porcello,Red Sox,SP,8400,16.44,17.57,102.80436221350989
4,Johnny Cueto,Giants,SP,8100,17.3,16.03,124.70298722558779
5,Jhoulys Chacin,Brewers,SP,7700,15.08,14.06,97.96539104143216
6,Gio Gonzalez,Nationals,SP,7600,16.13,16.09,109.76918321817631
7,Alex Wood,Dodgers,SP,7500,14.93,13.79,109.0535250286776
8,Trevor Williams,Pirates,SP,7400,12.63,11.73,93.11536712247322
9,Kevin Gausman,Orioles,SP,7300,14.18,14.99,115.76380934417372
10,Tyson Ross,Padres,SP,7200,15.81,12.52,125.68290456537613
11,Max Fried,Braves,SP,7100,12.73,11.31,100.55257812500008
12,Felix Hernandez,Mariners,SP,6600,12.84,13.0,134.76419419964745
13,Trevor Richards,Marlins,SP,6500,14.36,10.94,86.11749999999998
14,Mookie Betts,Red Sox,OF,6000,10.6,9.97,87.29069074621958
15,Jaime Barria,Angels,SP,6000,11.6,12.14,66.54530931122449
16,Khris Davis,Athletics,OF,5900,10.64,11.06,59.224832731446476
17,Andrew Benintendi,Red Sox,OF,5800,9.5,9.82,88.66307823971891
18,Trevor Story,Rockies,SS,5800,10.19,11.39,74.9515887793413
19,Mike Trout,Angels,OF,5800,10.23,11.07,119.66422366253185
20,J.D. Martinez,Red Sox,OF,5700,10.37,9.8,73.66736427604356
21,Nolan Arenado,Rockies,3B,5700,10.75,11.71,65.57233098972418
22,Alex Bregman,Astros,3B,5600,10.14,9.86,69.06539099571775
23,Christian Yelich,Brewers,OF,5600,7.79,8.03,69.80472630137722
24,Eddie Rosario,Twins,OF,5500,9.46,8.21,58.756917950853826
25,Jake Odorizzi,Twins,SP,5400,12.33,12.15,92.57698691666664
26,Max Muncy,Dodgers,1B/3B,5300,9.07,6.55,41.20811654526535
27,Charlie Blackmon,Rockies,OF,5300,9.97,11.38,73.17235111520449
28,George Springer,Astros,OF,5200,9.51,9.73,81.05845209984821
29,Ian Desmond,Rockies,1B,5200,9.47,11.02,58.512270135054294
