,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Trevor Cahill,Athletics,SP,9900,12.67,12.84,105.10536954419977
1,Nick Kingham,Pirates,SP,9400,14.2,15.11,96.2729
2,Rich Hill,Dodgers,SP,9200,16.43,19.42,135.99430628642972
3,Anibal Sanchez,Braves,SP,8300,15.28,12.91,129.69717355938738
4,Sonny Gray,Yankees,SP,8200,18.03,18.33,125.81372383777006
5,Dereck Rodriguez,Giants,SP,7900,15.5,14.49,79.02243124999998
6,Kyle Gibson,Twins,SP,7400,10.87,11.35,110.98304254014528
8,Brian Johnson,Red Sox,SP,7000,12.74,13.15,91.61607177734376
9,Wade Miley,Brewers,SP,6600,14.22,12.67,114.9216653901144
10,Steven Matz,Mets,SP,6300,12.87,13.37,105.24228802083334
11,Dan Straily,Marlins,SP,6200,12.41,11.46,97.70687151926931
12,Tyler Mahle,Reds,SP,6000,13.83,14.98,90.43794162326387
13,Mookie Betts,Red Sox,OF,5900,10.53,10.65,87.29069074621958
14,Andrew Benintendi,Red Sox,OF,5700,9.67,10.25,88.66307823971891
15,Aaron Judge,Yankees,OF,5600,11.1,10.25,94.66764061358656
16,J.D. Martinez,Red Sox,OF,5500,10.31,10.19,73.66736427604356
17,Jakob Junis,Royals,SP,5500,11.6,12.04,77.71068602839333
18,Khris Davis,Athletics,OF,5400,11.22,10.16,59.224832731446476
19,Eddie Rosario,Twins,OF,5300,8.72,8.15,58.756917950853826
20,Ozzie Albies,Braves,2B,5200,9.05,7.24,69.30562499999999
21,Christian Yelich,Brewers,OF,5200,8.23,8.21,69.80472630137722
22,Xander Bogaerts,Red Sox,SS,5100,7.98,7.92,53.33306499723279
23,Eugenio Suarez,Reds,3B,5100,9.38,9.38,56.127916476567385
24,Max Muncy,Dodgers,1B/3B,5000,9.63,8.34,41.20811654526535
25,Didi Gregorius,Yankees,SS,5000,9.12,10.09,40.13304773148929
26,Freddie Freeman,Braves,1B,4900,8.96,7.53,66.15294295562454
27,Alex Cobb,Orioles,SP,4900,10.48,11.9,119.306545663972
28,Giancarlo Stanton,Yankees,OF,4900,10.97,10.07,80.21519695339626
29,Brian Dozier,Twins,2B,4800,8.62,8.61,72.67477420408684
30,C.J. Cron,Rays,1B,4800,9.26,8.33,43.26164471342114
31,Brett Gardner,Yankees,OF,4800,8.84,8.01,52.399053751411635
32,Starling Marte,Pirates,OF,4800,9.73,8.48,74.51312909617437
33,J.T. Realmuto,Marlins,C,4800,8.82,7.07,51.250060092542526
34,Bryce Harper,Nationals,OF,4800,9.93,10.02,88.03941603742416
35,Manny Machado,Dodgers,SS,4700,9.87,8.43,71.60048168772654
36,Rhys Hoskins,Phillies,OF,4700,10.85,9.22,85.07635041551245
37,Jesus Aguilar,Brewers,1B,4700,7.88,7.82,30.531674569769308
38,Eduardo Escobar,Twins,3B/SS,4600,7.8,7.47,34.550696902110055
39,Scooter Gennett,Reds,2B,4600,8.52,7.16,52.57237784822814
40,Odubel Herrera,Phillies,OF,4600,9.35,7.99,47.735537190082646
41,Mallex Smith,Rays,OF,4600,7.79,6.65,41.29805901087675
42,Adam Eaton,Nationals,OF,4600,8.85,8.24,62.45602790083891
43,Yasmani Grandal,Dodgers,C,4500,9.04,7.3,45.1249960100865
44,Bartolo Colon,Rangers,SP,4500,8.02,9.51,128.96213771438423
45,Gregory Polanco,Pirates,OF,4500,7.58,7.46,60.72898272954829
46,Brandon Nimmo,Mets,OF,4500,8.39,7.0,28.691402803646703
47,Joc Pederson,Dodgers,OF,4400,9.68,8.52,34.52116767532929
48,Jed Lowrie,Athletics,2B/3B,4400,9.36,8.36,47.299696453209975
49,Matt Olson,Athletics,1B,4400,10.64,10.69,45.709357277882795
