,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
85,Josh Reddick,Astros,OF,3700,7.08,6.77,6.59,54.949033896495855
86,Miguel Sano,Twins,1B/3B,3700,7.35,6.9,7.64,58.35295288888898
87,Mitch Garver,Twins,C,3700,6.27,6.05,5.33,40.06688456632655
88,Manny Pina,Brewers,C,3700,5.93,5.77,5.99,35.78204076962684
89,Billy Hamilton,Reds,OF,3700,8.3,7.76,7.67,59.45389074578142
90,Corey Dickerson,Pirates,OF,3700,9.06,7.58,8.66,59.56100530404989
91,Josh Bell,Pirates,1B,3700,7.68,6.81,7.54,44.07045805261768
92,Hernan Perez,Brewers,2B/OF,3600,6.52,6.59,7.06,42.521672562358376
93,Colin Moran,Pirates,3B,3600,7.37,6.38,6.44,32.99061728395061
94,Scott Kingery,Phillies,SS,3600,6.83,6.2,5.27,30.748099676118716
95,Welington Castillo,White Sox,C,3500,6.33,6.56,6.23,46.98882676074307
96,Addison Russell,Cubs,SS,3500,6.42,4.3,5.9,44.39356772551601
97,Rafael Ortega,Marlins,OF,3500,7.29,6.59,6.03,32.95795024337477
98,Marcell Ozuna,Cardinals,OF,3400,7.58,5.78,6.72,52.20105749814003
99,Paul DeJong,Cardinals,SS,3400,6.95,5.7,5.69,51.95198745881596
100,JaCoby Jones,Tigers,OF,3400,5.76,6.05,7.15,38.565420408163256
101,Max Kepler,Twins,OF,3400,5.72,5.18,5.48,54.848646986872204
102,Austin Dean,Marlins,OF,3400,6.12,4.88,5.07,35.0
103,Harrison Bader,Cardinals,OF,3300,6.17,5.08,4.81,43.84729138373329
104,Victor Martinez,Tigers,1B,3300,7.27,6.93,6.74,48.8244231570184
105,Robbie Grossman,Twins,OF,3300,5.55,5.65,5.56,38.66420021085485
106,Miguel Rojas,Marlins,3B/SS,3300,5.88,5.38,5.06,26.118776062638826
107,Matt Adams,Cardinals,1B/OF,3200,8.31,5.97,7.49,52.36380355489464
108,Wilmer Difo,Nationals,2B/3B,3200,6.06,5.46,5.86,29.38927652040205
109,Yairo Munoz,Cardinals,2B/SS,3200,7.04,3.78,5.3,38.196311719214776
110,Brian McCann,Astros,C,3200,6.57,6.26,5.69,55.38949151912728
111,Logan Forsythe,Twins,2B,3200,6.62,7.44,6.18,41.76806207239277
112,Ronny Rodriguez,Tigers,2B/SS,3100,6.92,5.63,6.07,35.0
113,Adam Engel,White Sox,OF,3100,5.67,5.3,4.62,36.49735607041985
115,Lewis Brinson,Marlins,OF,2800,5.76,5.11,5.33,42.53551020408164
116,Francisco Pena,Cardinals,C,2700,5.03,5.2,4.0,33.620891161431686
117,Pedro Severino,Nationals,C,2700,5.29,6.2,4.6,18.268742190753844
118,James McCann,Tigers,C,2700,5.52,4.23,6.11,38.911002872085106
119,Greg Garcia,Cardinals,2B/SS,2500,5.18,6.25,4.69,18.06507054352357
