,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
0,J.D. Martinez,Red Sox,DH,11.3,5700,9.89,10.595,0.9940500000000002
1,Bryce Harper,Nationals,RF,10.8,5200,10.56,10.68,0.02880000000000005
2,Mookie Betts,Red Sox,RF,10.97,6000,10.5,10.735,0.1104500000000003
3,Aaron Judge,Yankees,RF,10.78,5500,10.62,10.7,0.012800000000000023
4,Mike Trout,Angels,CF,10.56,5900,10.11,10.335,0.10125000000000048
5,Matt Adams,Nationals,1B,10.45,3700,7.39,8.92,4.681799999999999
6,Giancarlo Stanton,Yankees,DH,10.4,5000,10.36,10.379999999999999,0.000800000000000037
7,Joc Pederson,Dodgers,LF,10.42,4500,8.25,9.335,2.35445
8,Max Muncy,Dodgers,1B,10.26,5000,8.28,9.27,1.9602000000000008
9,Cody Bellinger,Dodgers,1B,10.11,4800,8.34,9.225,1.5664499999999992
10,Trea Turner,Nationals,SS,10.29,4700,10.1,10.195,0.018049999999999906
11,Andrew Benintendi,Red Sox,LF,10.14,4900,8.88,9.510000000000002,0.7937999999999997
12,Paul Goldschmidt,Diamondbacks,1B,10.0,5100,10.26,10.129999999999999,0.03379999999999994
13,Juan Soto,Nationals,LF,9.96,4600,8.25,9.105,1.4620500000000014
14,Eddie Rosario,Twins,LF,10.04,4800,9.46,9.75,0.16819999999999902
15,Anthony Rendon,Nationals,3B,9.87,4700,8.73,9.3,0.6497999999999986
16,A.J. Pollock,Diamondbacks,CF,9.75,4900,9.8,9.775,0.0012500000000000356
17,Nelson Cruz,Mariners,DH,9.47,5100,7.8,8.635,1.3944500000000013
18,Francisco Lindor,Indians,SS,9.58,5900,10.27,9.925,0.23804999999999965
19,Justin Turner,Dodgers,3B,9.47,4100,8.1,8.785,0.9384500000000013
20,Jose Ramirez,Indians,3B,9.49,5800,10.72,10.105,0.7564500000000005
21,Jose Ramirez,Indians,3B,9.49,4000,10.72,10.105,0.7564500000000005
22,Alex Bregman,Astros,3B,9.36,5500,9.55,9.455,0.018050000000000243
23,Eric Thames,Brewers,1B,9.24,4900,9.01,9.125,0.0264500000000001
24,Joey Gallo,Rangers,LF,9.18,4000,8.07,8.625,0.6160499999999993
25,Freddie Freeman,Braves,1B,9.19,5200,9.58,9.385,0.07605000000000023
26,George Springer,Astros,CF,9.12,4900,9.49,9.305,0.06845000000000037
27,Aaron Hicks,Yankees,CF,9.11,4900,9.03,9.07,0.003200000000000006
28,Michael Brantley,Indians,LF,9.14,4900,8.56,8.850000000000001,0.16820000000000004
29,Jose Altuve,Astros,2B,9.11,5000,9.77,9.44,0.2178000000000001
30,Christian Yelich,Brewers,LF,8.99,4700,8.99,8.99,0.0
31,Rhys Hoskins,Phillies,LF,8.81,4900,9.09,8.95,0.03919999999999982
32,Charlie Blackmon,Rockies,CF,8.9,4900,9.93,9.415,0.5304499999999994
33,Travis Shaw,Brewers,3B,8.68,4300,7.66,8.17,0.5201999999999996
34,Steve Pearce,Red Sox,LF,8.76,3900,8.16,8.46,0.17999999999999977
35,Jesus Aguilar,Brewers,1B,8.66,5000,8.4,8.530000000000001,0.03379999999999994
36,Matt Kemp,Dodgers,LF,8.66,4300,7.95,8.305,0.25205
37,Edwin Encarnacion,Indians,DH,8.53,4900,8.81,8.67,0.03920000000000032
38,Nolan Arenado,Rockies,3B,8.6,5600,9.19,8.895,0.17404999999999993
39,Nomar Mazara,Rangers,RF,8.68,4100,7.72,8.2,0.4608
40,Elvis Andrus,Rangers,SS,8.73,3500,7.92,8.325,0.3280500000000004
41,Justin Upton,Angels,LF,8.42,4600,6.31,7.365,2.2260500000000008
42,Tommy Pham,Cardinals,CF,8.6,4100,8.48,8.54,0.007199999999999906
43,Ozzie Albies,Braves,2B,8.57,5600,9.11,8.84,0.14579999999999954
44,Brett Gardner,Yankees,LF,8.57,3500,7.71,8.14,0.36980000000000024
45,Starling Marte,Pirates,CF,8.61,4400,7.2,7.904999999999999,0.994049999999999
46,Niko Goodrum,Tigers,1B,8.52,3700,7.57,8.045,0.4512499999999993
47,Brandon Belt,Giants,1B,8.39,4700,7.27,7.83,0.6272000000000011
48,Eric Hosmer,Padres,1B,8.44,3700,7.79,8.115,0.21124999999999966
49,Yasmani Grandal,Dodgers,C,8.36,3900,6.93,7.645,1.0224499999999996
50,Manny Machado,Orioles,SS,8.47,5000,9.06,8.765,0.17404999999999993
51,Yonder Alonso,Indians,1B,8.35,4500,7.87,8.11,0.11519999999999977
52,Logan Morrison,Twins,DH,8.28,3500,7.64,7.959999999999999,0.20479999999999982
53,J.T. Realmuto,Marlins,C,8.42,4800,7.52,7.97,0.4050000000000003
54,Ryan Braun,Brewers,1B,8.33,4300,6.6,7.465,1.4964500000000007
55,Didi Gregorius,Yankees,SS,8.38,4400,8.42,8.4,0.0007999999999999659
56,Jean Segura,Mariners,SS,8.51,4700,7.54,8.025,0.4704499999999998
57,Evan Gattis,Astros,DH,8.27,4000,6.95,7.609999999999999,0.8711999999999992
58,Adrian Beltre,Rangers,3B,8.38,3800,9.01,8.695,0.19844999999999938
59,Matt Carpenter,Cardinals,3B,8.3,4900,8.14,8.22,0.012800000000000023
60,Alen Hanson,Giants,2B,8.46,3600,7.67,8.065000000000001,0.3120500000000007
61,Curtis Granderson,Blue Jays,LF,8.19,4000,8.35,8.27,0.012800000000000023
62,Xander Bogaerts,Red Sox,SS,8.32,4600,7.89,8.105,0.09245000000000025
63,Rougned Odor,Rangers,2b,8.25,3800,8.8,8.525,0.15125000000000038
64,Wil Myers,Padres,RF,8.18,4300,7.54,7.859999999999999,0.20479999999999982
65,Teoscar Hernandez,Blue Jays,RF,8.17,4200,8.62,8.395,0.10124999999999967
66,Marcell Ozuna,Cardinals,LF,8.14,3600,6.93,7.535,0.732050000000001
