,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Aaron Nola,Phillies,SP,12800,19.2,21.6,21.37,108.11381259083105
1,Jon Lester,Cubs,SP,9500,13.18,12.61,14.32,133.08773868531435
2,Anthony DeSclafani,Reds,SP,9000,14.21,15.92,13.28,91.77703793462584
3,Lance Lynn,Yankees,SP,8800,19.64,14.73,22.13,112.13549612531764
4,Brian Johnson,Red Sox,SP,8100,13.51,17.98,14.39,91.7378755752794
5,Luke Weaver,Cardinals,SP,7700,16.74,14.96,15.26,137.11611300998266
6,Junior Guerra,Brewers,SP,7000,11.05,14.54,9.19,79.1744638731359
7,David Hess,Orioles,SP,6600,13.45,13.17,10.86,80.0
8,James Shields,White Sox,SP,6300,8.04,11.54,7.88,123.72015109465104
9,Jefry Rodriguez,Nationals,SP,6100,9.8,9.91,8.74,80.0
10,Mookie Betts,Red Sox,OF,6000,12.01,10.25,11.9,80.13935887163052
11,Christian Yelich,Brewers,OF,5900,11.26,8.86,9.9,53.91096161251298
12,Jorge Lopez,Royals,SP,5800,12.97,9.38,12.02,80.0
13,J.D. Martinez,Red Sox,OF,5700,12.8,8.91,12.48,66.23409234081184
14,Andrew Benintendi,Red Sox,OF,5400,10.75,8.55,10.57,66.82340270551494
15,Matt Carpenter,Cardinals,1B/3B,5300,9.35,8.67,10.04,54.68226765016636
16,Sean Reid-Foley,Blue Jays,SP,5300,17.8,12.08,13.88,80.0
17,Bryce Harper,Nationals,OF,5000,10.55,9.36,10.54,67.4759832182376
18,Trea Turner,Nationals,SS,4900,9.96,8.1,9.14,83.89733633328525
19,Juan Soto,Nationals,OF,4900,9.29,6.97,8.81,65.5558641585658
20,Gleyber Torres,Yankees,2B,4900,8.24,6.92,8.46,54.3918005540166
21,Adam Eaton,Nationals,OF,4800,8.97,8.16,8.14,46.475887096774166
22,J.T. Realmuto,Marlins,C,4800,7.67,8.38,7.8,52.97886137654499
23,Javier Baez,Cubs,2B/SS,4800,8.75,7.86,7.32,64.88382445444428
24,Anthony Rizzo,Cubs,1B,4800,8.52,8.31,9.02,63.54446003094753
25,Jesus Aguilar,Brewers,1B,4700,10.33,8.31,10.32,65.24809329390222
26,Xander Bogaerts,Red Sox,SS,4700,9.21,7.69,9.34,48.95675563222496
27,Scooter Gennett,Reds,2B,4700,8.61,7.4,8.16,51.92850366929999
28,Eugenio Suarez,Reds,3B,4700,8.22,6.54,7.76,55.37077619718895
29,Aaron Hicks,Yankees,OF,4700,8.79,7.86,8.66,48.90910415326173
30,Wilson Ramos,Phillies,C,4700,8.71,7.31,8.94,48.68676157844995
31,Anthony Rendon,Nationals,3B,4600,9.58,8.22,9.14,56.85060410778779
32,Rougned Odor,Rangers,2B,4600,9.48,10.35,10.05,62.546655872137144
33,Joey Gallo,Rangers,1B/OF,4600,8.96,7.7,10.25,67.76047858558182
34,Whit Merrifield,Royals,2B/OF,4500,9.15,8.11,8.56,51.00804618213704
35,Kris Bryant,Cubs,3B,4500,7.81,6.66,7.7,72.27763834572964
36,Rhys Hoskins,Phillies,OF,4500,9.96,8.3,10.11,71.58729686880697
37,Travis Shaw,Brewers,2B/3B,4400,10.04,8.05,9.16,61.706232638888906
38,Tyler Austin,Twins,1B,4400,11.52,7.34,9.05,69.78328741965107
39,Jurickson Profar,Rangers,3B/SS,4400,8.15,6.54,8.26,36.83555976331365
40,Roman Quinn,Phillies,OF,4400,9.21,8.25,8.61,35.0
41,Mike Moustakas,Brewers,3B,4300,9.75,7.71,8.89,48.62669375527236
42,Mitch Moreland,Red Sox,1B,4300,9.78,7.25,9.78,47.534107813475906
43,Yohander Mendez,Rangers,RP,4300,9.14,9.05,7.3,80.0
44,Adalberto Mondesi,Royals,2B/SS,4300,7.88,7.32,8.02,51.295555555555566
46,Gary Sanchez,Yankees,C,4300,9.31,7.67,9.6,88.0791884705921
47,Miguel Andujar,Yankees,3B,4300,9.17,7.87,8.44,56.877549755099494
48,Randal Grichuk,Blue Jays,OF,4300,8.19,7.6,7.09,58.601812583742046
49,Ryan Zimmerman,Nationals,1B,4200,9.16,7.02,8.29,59.33874321790858
50,Avisail Garcia,White Sox,OF,4200,8.36,8.46,8.76,52.86025600949854
51,Jorge Polanco,Twins,SS,4200,9.33,8.01,8.89,38.49976331360954
