"Neil Walker",3600,NYY,1B/2B,BOS,,0.738,6.29
"Steve Pearce",4300,BOS,1B/OF,NYY,,0.738,7.11
"Mitch Moreland",4200,BOS,1B,NYY,,0.999,7.35
"Andrew Benintendi",5700,BOS,OF,NYY,,0.999,8.9
"Miguel Andujar",4200,NYY,3B,BOS,,0.999,6
"Gleyber Torres",4100,NYY,2B,BOS,,0.999,7.62
"Luke Voit",3500,NYY,1B,BOS,,0.999,6.56
"Austin Romine",3200,NYY,C,BOS,,0.999,5.43
"Brett Gardner",4300,NYY,OF,BOS,,0.999,5.16
"Didi Gregorius",4900,NYY,SS,BOS,,0.756,8.66
"Eduardo Escobar",4800,ARI,3B/SS,SFG,,0.743,7.84
"Gorkys Hernandez",3900,SFG,OF,ARI,,0.999,4.95
"Justin Smoak",4300,TOR,1B,SEA,,0.77,7.95
"Curtis Granderson",3900,TOR,OF,SEA,,0.773,8.59
"Kendrys Morales",3900,TOR,1B,SEA,,0.733,6.75
"Yangervis Solarte",3800,TOR,2B/3B,SEA,,0.999,6.51
"Denard Span",4400,SEA,OF,TOR,,0.78,7.93
"Dee Gordon",4000,SEA,2B/OF,TOR,,0.758,7.83
"Tony Kemp",3400,HOU,OF,LAD,,0.999,4.99
"Max Muncy",4100,LAD,1B/3B,HOU,,0.999,6.36
"Josh Reddick",3600,HOU,OF,LAD,,0.747,6.84
"Max Stassi",3100,HOU,C,LAD,,0.999,5.96
"Marwin Gonzalez",3000,HOU,OF/SS,LAD,,0.999,6.53
"Joc Pederson",4100,LAD,OF,HOU,,0.999,7.57
"Cody Bellinger",3800,LAD,1B/OF,HOU,,0.999,6.64
"Yasmani Grandal",4100,LAD,C,HOU,,0.738,7.11
"Kyle Seager",3900,SEA,3B,TOR,,0.999,6.49
"Randal Grichuk",4200,TOR,OF,SEA,,0.774,8.41
"Cameron Maybin",3200,SEA,OF,TOR,,0.999,6.32
"Mike Zunino",3400,SEA,C,TOR,,0.999,7.22
"Andrew McCutchen",4100,SFG,OF,ARI,,0.743,8.35
"Buster Posey",4500,SFG,C,ARI,,0.999,8.2
"Hunter Pence",3600,SFG,OF,ARI,,0.999,5.62
"Evan Longoria",4000,SFG,3B,ARI,,0.999,7.38
"Ryon Healy",4000,SEA,1B,TOR,,0.776,7.53
"Mitch Haniger",4300,SEA,OF,TOR,,0.776,7.93
"Russell Martin",3900,TOR,C,SEA,,0.999,6.27
"Teoscar Hernandez",4100,TOR,OF,SEA,,0.999,6.51
"Brandon Drury",3200,TOR,2B/3B,SEA,,0.999,5.39
"Devon Travis",3600,TOR,2B,SEA,,0.999,3.98
"Nelson Cruz",5000,SEA,OF,TOR,,0.782,8.59
"Jean Segura",4700,SEA,SS,TOR,,0.752,8.15
"Tom Murphy",3800,COL,C,MIL,,0.999,4.85
"Patrick Valaika",3000,COL,1B/2B,MIL,,0.999,6.44
"Kurt Suzuki",3500,ATL,C,NYM,,0.753,7.42
"Jeff McNeil",3300,NYM,2B/3B,ATL,,0.999,6.45
"Michael Conforto",4100,NYM,OF,ATL,,0.766,8.43
"Dansby Swanson",3500,ATL,SS,NYM,,0.999,5.66
"Jose Bautista",3600,NYM,3B/OF,ATL,,0.755,6.89
"Amed Rosario",3100,NYM,SS,ATL,,0.999,7.21
"Wilmer Flores",3700,NYM,1B/3B,ATL,,0.999,7.08
"Ender Inciarte",4000,ATL,OF,NYM,,0.999,5.71
"Johan Camargo",4100,ATL,3B/SS,NYM,,0.999,5.71
"Brandon Lowe",0,TBR,2B,CHW,,0,5.92
"Willy Adames",3400,TBR,2B/SS,CHW,,0.999,5.17
"Dustin Garneau",2600,CHW,C,TBR,,0,5.23
"Ozzie Albies",5000,ATL,2B,NYM,,0.78,8.83
"Nick Markakis",4400,ATL,OF,NYM,,0.768,7.81
"Freddie Freeman",5000,ATL,1B,NYM,,0.79,8.91
"Devin Mesoraco",3200,NYM,C,ATL,,0.999,5.53
"Ronald Acuna",4700,ATL,OF,NYM,,0.797,9.3
"Asdrubal Cabrera",4200,PHI,2B/SS,MIA,,0.999,7.05
"Rhys Hoskins",5400,PHI,OF,MIA,,0.757,8.85
"Jorge Alfaro",3300,PHI,C,MIA,,0.999,6.24
"Justin Bour",3600,MIA,1B,PHI,,0.999,7.36
"Odubel Herrera",4200,PHI,OF,MIA,,0.73,7.25
"Derek Dietrich",3800,MIA,OF,PHI,,0.999,5.69
"Maikel Franco",4200,PHI,3B,MIA,,0.999,7.26
"Carlos Santana",4200,PHI,1B,MIA,,0.74,8.43
"Austin Jackson",3200,NYM,OF,ATL,,0.726,4.97
"Jose Reyes",3800,NYM,3B/SS,ATL,,0.743,5.49
"Starlin Castro",3700,MIA,2B,PHI,,0.999,8.13
"Brian Anderson",4000,MIA,3B/OF,PHI,,0.999,7.18
"Cesar Hernandez",4100,PHI,2B,MIA,,0.747,8.29
"Martin Prado",2800,MIA,3B,PHI,,0.999,5.48
"Matt Duffy",3600,TBR,3B,CHW,,0.999,7.04
"Tim Anderson",3600,CHW,SS,TBR,,0.999,5.19
"Kaleb Cowart",3700,LAA,3B,CLE,,0.999,6.4
"Francisco Arcia",3300,LAA,C,CLE,,0.999,7.79
"Eric Young",3300,LAA,OF,CLE,,0.999,6.45
"Andrelton Simmons",4500,LAA,SS,CLE,,0.739,7.25
"David Fletcher",3700,LAA,2B/3B,CLE,,0.999,6.93
"Edwin Encarnacion",4700,CLE,1B,LAA,,0.783,9.16
"Shohei Ohtani",4400,LAA,OF,CLE,,0.783,9.7
"Leonys Martin",4200,CLE,OF,LAA,,0.999,6.18
"Michael Brantley",4100,CLE,OF,LAA,,0.999,8.53
"Francisco Lindor",5700,CLE,SS,LAA,,0.762,10.6
"Jose Ramirez",5900,CLE,3B,LAA,,0.767,10.82
"Yonder Alonso",4200,CLE,1B,LAA,,0.999,7.17
"Jason Kipnis",3200,CLE,2B,LAA,,0.783,6.99
"Melky Cabrera",3800,CLE,OF,LAA,,0.999,7.16
"Roberto Perez",2900,CLE,C,LAA,,0.796,5.73
"Jose Briceno",3200,LAA,C,CLE,,0,5.04
"Jakob Bauers",4300,TBR,1B/OF,CHW,,0.775,8.85
"Mallex Smith",4300,TBR,OF,CHW,,0.999,7.44
"Ji-Man Choi",3400,TBR,1B,CHW,,0.999,6.3
"Michael Perez",3000,TBR,C,CHW,,0.999,6.4
"Avisail Garcia",3800,CHW,OF,TBR,,0.73,6.72
"Jose Abreu",4500,CHW,1B,TBR,,0.999,7.16
"Joseph Wendle",3800,TBR,2B/OF,CHW,,0.999,7.03
"Kevin Kiermaier",4100,TBR,OF,CHW,,0.722,9.96
"Yoan Moncada",4100,CHW,2B,TBR,,0.748,7.8
"Jefry Marte",3500,LAA,1B/3B,CLE,,0.744,5.78
"Yolmer Sanchez",3400,CHW,3B,TBR,,0.741,7.06
"Daniel Palka",4600,CHW,OF,TBR,,0.999,7.48
"Nicky Delmonico",3800,CHW,OF,TBR,,0.999,5.26
"Leury Garcia",3700,CHW,OF,TBR,,0.999,5.72
"Magneuris Sierra",3200,MIA,OF,PHI,,0.999,5.23
"Nick Williams",4100,PHI,OF,MIA,,0.74,7.33
"Lucas Duda",3700,KCR,1B,MIN,,0.999,7.92
"Alex Gordon",3400,KCR,OF,MIN,,0.999,7.46
"Eddie Rosario",4200,MIN,OF,KCR,,0.713,7.1
"Max Kepler",3700,MIN,OF,KCR,,0.999,6.27
"Brett Phillips",3900,KCR,OF,MIN,,0.999,6.58
"Rosell Herrera",3400,KCR,OF,MIN,,0.999,7.49
"Mitch Garver",3700,MIN,C,KCR,,0.999,4.68
"Robbie Grossman",3400,MIN,OF,KCR,,0.999,6.14
"Whit Merrifield",4500,KCR,2B/OF,MIN,,0.755,8.28
"Brandon Dixon",2700,CIN,2B/OF,WAS,,0,7.04
"Salvador Perez",4300,KCR,C,MIN,,0.999,6.56
"Logan Forsythe",3200,MIN,2B/3B,KCR,,0.999,7.1
"Miguel Sano",4100,MIN,1B/3B,KCR,,0.999,7.36
"Jorge Polanco",3900,MIN,SS,KCR,,0.746,8.14
"Ryan O'Hearn",3600,KCR,1B,MIN,,0.999,6.36
"Alcides Escobar",2700,KCR,SS,MIN,,0,4.8
"DJ LeMahieu",4300,COL,2B,MIL,,0.745,7.83
"Eric Thames",4800,MIL,1B/OF,COL,,0.999,6.96
"Nolan Arenado",5400,COL,3B,MIL,,0.765,8.89
"Trevor Story",4900,COL,SS,MIL,,0.999,8.39
"Jonathan Schoop",3900,MIL,2B,COL,,0.999,5.6
"Ian Desmond",4300,COL,1B,MIL,,0.999,7.61
"Travis Shaw",4100,MIL,2B/3B,COL,,0.999,7.35
"Mike Moustakas",3900,MIL,3B,COL,,0.999,6.76
"Jake Cave",3100,MIN,OF,KCR,,0.999,5.36
"Jorge Bonifacio",3400,KCR,OF,MIN,,0,6.6
"Ehire Adrianza",2800,MIN,SS,KCR,,0.999,5.91
"Charlie Blackmon",5000,COL,OF,MIL,,0.761,8.58
"Christian Yelich",5600,MIL,OF,COL,,0.999,7.23
"Carlos Gonzalez",4500,COL,OF,MIL,,0.999,7.54
"Wilmer Difo",3700,WAS,2B/3B,CIN,,0,5.6
"Juan Soto",4900,WAS,OF,CIN,,0.743,7.65
"Harrison Bader",3700,STL,OF,PIT,,0.999,6.54
"Jedd Gyorko",3700,STL,2B/3B,PIT,,0.999,6.5
"Starling Marte",5300,PIT,OF,STL,,0.819,8.41
"Francisco Cervelli",3900,PIT,C,STL,,0.999,5.86
"Greg Garcia",2700,STL,2B/SS,PIT,,0,5.44
"Jordy Mercer",3100,PIT,SS,STL,,0.999,4.57
"Marcell Ozuna",3900,STL,OF,PIT,,0.999,6.75
"Yadier Molina",4100,STL,C,PIT,,0.744,7.16
"Miguel Rojas",3200,MIA,3B/SS,PHI,,0.999,4.95
"Bryan Holaday",2600,MIA,C,PHI,,0,5.84
"Matt Carpenter",5100,STL,1B/3B,PIT,,0.769,8.91
"Corey Dickerson",4500,PIT,OF,STL,,0.756,8.11
"Colin Moran",3400,PIT,3B,STL,,0.999,6.49
"Gregory Polanco",5200,PIT,OF,STL,,0.761,7.98
"Kolten Wong",3200,STL,2B,PIT,,0,6
"Jose Martinez",3800,STL,1B,PIT,,0.797,7.89
"Bryce Harper",5500,WAS,OF,CIN,,0.711,9.58
"Adam Eaton",4500,WAS,OF,CIN,,0.74,7.97
"Matt Adams",4200,WAS,1B/OF,CIN,,0.75,7.64
"Daniel Murphy",4300,WAS,1B/2B,CIN,,0.999,7.36
"Mason Williams",3000,CIN,OF,WAS,,0.76,7.82
"Matt Wieters",3100,WAS,C,CIN,,0.999,5.51
"Billy Hamilton",3300,CIN,OF,WAS,,0.999,6.21
"Tucker Barnhart",3600,CIN,C,WAS,,0.999,6.06
"Jose Osuna",3100,PIT,1B/OF,STL,,0.722,6.4
"Adam Frazier",3800,PIT,2B/OF,STL,,0.742,6.32
"Jose Peraza",3500,CIN,SS,WAS,,0.775,8.39
"Eugenio Suarez",4600,CIN,3B,WAS,,0.727,7.1
"Scooter Gennett",4400,CIN,2B,WAS,,0.742,7.79
"Anthony Rendon",4300,WAS,3B,CIN,,0.753,8.05
"Kole Calhoun",4600,LAA,OF,CLE,,0.763,9.19
