"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Yankees","BAL @ NYY","DH","4.59","1.14",".58",".18",".00",".37",".83",".86",".02",".01",".57","1.28","9.48","14.82","11.01","4949"
"Mike Trout","Angels","LAA @ TB","CF","4.61","1.02",".56",".17",".03",".26",".75",".63",".12",".05","1.07","1.05","9.42","14.59","10.85","10155"
"Mookie Betts","Red Sox","PHI @ BOS","RF","4.66","1.24",".72",".30",".02",".19",".74",".59",".15",".06",".51",".59","8.62","13.38","10.23","13611"
"Rhys Hoskins","Phillies","PHI @ BOS","LF","4.78","1.04",".54",".23",".01",".26",".74",".70",".04",".03",".74","1.20","8.67","13.50","10.02","16472"
"Freddie Freeman","Braves","MIA @ ATL","1B","4.46","1.25",".72",".33",".03",".17",".73",".64",".04",".03",".69",".65","8.61","13.38","10.11","5361"
"J.D. Martinez","Red Sox","PHI @ BOS","DH","4.43","1.19",".66",".24",".02",".27",".67",".81",".01",".01",".41","1.04","8.41","13.15","9.91","6184"
"Manny Machado","Dodgers","MIL @ LAD","SS","4.60","1.21",".74",".23",".01",".24",".75",".63",".05",".04",".51",".58","8.32","12.95","9.83","11493"
"Paul Goldschmidt","Diamondbacks","TEX @ ARI","1B","4.49","1.24",".74",".26",".03",".20",".76",".59",".08",".04",".47",".93","8.27","12.85","9.82","9218"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.60","1.14",".65",".27",".03",".18",".66",".66",".10",".05",".55",".56","8.17","12.72","9.63","13510"
"Charlie Blackmon","Rockies","COL @ STL","CF","4.71","1.16",".71",".19",".04",".23",".67",".49",".12",".06",".55","1.06","8.16","12.62","9.71","7859"
"Trea Turner","Nationals","NYM @ WSH","SS","4.61","1.22",".83",".20",".04",".16",".66",".45",".27",".11",".41",".79","8.07","12.47","9.77","16252"
"Mike Moustakas","Brewers","MIL @ LAD","3B","4.55","1.10",".59",".20",".00",".30",".66",".78",".01",".01",".37",".78","8.11","12.68","9.52","4892"
"Andrew Benintendi","Red Sox","PHI @ BOS","LF","4.55","1.15",".70",".25",".06",".15",".73",".58",".11",".06",".56",".72","8.11","12.59","9.57","17901"
"Anthony Rendon","Nationals","NYM @ WSH","3B","4.41","1.19",".71",".30",".01",".18",".67",".64",".04",".03",".49",".60","7.87","12.26","9.29","12861"
"Nolan Arenado","Rockies","COL @ STL","3B","4.50","1.06",".59",".20",".02",".26",".63",".64",".02",".02",".55",".96","7.87","12.24","9.23","9777"
