"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Rich Hill","Dodgers","SD @ LAD",".48","6.28","25.48","5.19","3.21","1.03",".06",".90","1.92","7.46","23.95","39.38","22.18","4806"
"Mike Clevinger","Indians","CLE @ KC",".51","6.37","26.67","5.73","3.69","1.22",".17",".65","2.41","6.59","21.05","36.47","19.71","12808"
"Mike Foltynewicz","Braves","ATL @ MIA",".43","6.35","27.00","6.44","4.59","1.20",".28",".38","2.18","6.46","19.86","35.44","18.74","10811"
"Michael Fulmer","Tigers","CWS @ DET",".38","6.03","24.82","5.55","3.64","1.03",".29",".58","1.73","6.11","19.86","33.63","18.30","13218"
"Dereck Rodriguez","Giants","TEX @ SF",".38","6.10","25.39","5.58","3.53","1.23",".16",".67","2.04","5.55","18.28","31.73","16.84","14509"
"Gio Gonzalez","Nationals","WSH @ NYM",".45","6.19","26.47","5.58","3.67","1.13",".11",".66","2.97","5.37","17.21","31.42","16.13","7448"
"Zack Godley","Diamondbacks","SEA @ ARI",".37","6.12","26.07","5.99","3.90","1.28",".22",".60","2.35","5.57","17.12","31.07","15.99","14862"
"Dallas Keuchel","Astros","HOU @ LAA",".45","6.48","27.37","6.53","4.45","1.26",".08",".74","2.04","4.40","15.77","29.03","14.62","9434"
"Wade Miley","Brewers","PIT @ MIL",".40","5.94","25.21","5.97","4.03","1.14",".11",".69","2.05","4.92","15.86","28.77","14.67","8779"
"Dan Straily","Marlins","ATL @ MIA",".28","5.76","24.79","6.03","3.89","1.35",".17",".63","2.09","5.45","15.67","28.75","14.66","9460"
"Erasmo Ramirez","Mariners","SEA @ ARI",".35","5.92","24.90","6.11","3.58","1.33",".26",".94","1.51","5.14","16.06","28.43","14.75","10314"
"Jake Odorizzi","Twins","OAK @ MIN",".30","5.73","24.90","5.55","3.07","1.28",".11","1.09","2.67","5.77","15.51","28.60","14.57","6397"
"CC Sabathia","Yankees","NYY @ BAL",".41","5.70","24.48","5.92","4.03","1.01",".08",".80","2.06","4.92","15.01","27.55","13.97","404"
"Sean Manaea","Athletics","OAK @ MIN",".39","5.78","24.83","6.19","3.80","1.31",".15",".94","1.84","5.05","14.89","27.34","13.83","15873"
"Jake Arrieta","Phillies","PHI @ TOR",".43","5.77","24.24","5.40","3.22","1.30",".11",".78","2.02","4.40","15.23","26.98","13.90","4153"
"Reynaldo Lopez","White Sox","CWS @ DET",".32","6.07","25.87","6.26","3.99","1.28",".31",".68","2.01","4.54","14.61","27.14","13.50","16400"
"Joe Musgrove","Pirates","PIT @ MIL",".32","5.76","24.56","6.14","3.80","1.13",".09","1.12","1.65","4.87","14.41","26.30","13.28","12970"
"Jason Vargas","Mets","WSH @ NYM",".27","5.67","24.37","5.76","3.57","1.09",".10","1.00","2.17","5.02","14.25","26.32","13.22","8044"
"Drew Hutchison","Rangers","TEX @ SF",".34","5.83","25.13","5.83","3.83","1.30",".15",".55","2.46","4.38","13.95","26.33","12.96","10732"
"Andrew Heaney","Angels","HOU @ LAA",".29","5.69","24.43","5.90","3.78","1.19",".06",".88","2.03","4.68","13.94","25.84","12.88","15423"
"Diego Castillo","Rays","BOS @ TB",".31","5.60","24.38","5.61","3.41","1.24",".10",".86","2.56","4.62","13.24","25.20","12.35","17496"
"Miles Mikolas","Cardinals","STL @ COL",".37","5.98","25.50","6.95","4.48","1.24",".26",".96","1.23","4.17","13.27","25.01","12.17","9803"
"Alec Mills","Cubs","CIN @ CHC",".44","5.75","24.74","6.37","4.01","1.24",".33",".78","1.77","4.08","12.84","24.44","11.84","13834"
"Antonio Senzatela","Rockies","STL @ COL",".32","5.66","24.57","6.38","4.02","1.32",".12",".92","1.77","4.39","12.68","24.30","11.75","15488"
"Hector Velazquez","Red Sox","BOS @ TB",".38","5.57","24.12","6.11","4.20","1.11",".18",".63","2.02","4.06","12.51","24.07","11.62","19341"
"Alex Cobb","Orioles","NYY @ BAL",".28","5.71","24.63","6.50","4.16","1.29",".09",".96","1.53","3.58","11.20","21.83","10.19","6562"
"Ryan Borucki","Blue Jays","PHI @ TOR",".27","5.58","24.51","6.22","3.90","1.37",".11",".85","2.17","3.59","10.27","21.14","9.50","16350"
"Clayton Richard","Padres","SD @ LAD",".25","5.51","24.29","6.03","3.70","1.27",".06",".99","2.33","3.62","10.03","20.77","9.30","3551"
"Brad Keller","Royals","CLE @ KC",".22","5.61","24.82","6.41","4.27","1.37",".13",".64","2.26","2.96","8.73","19.20","8.05","15734"
"Matt Harvey","Reds","CIN @ CHC",".21","5.06","23.26","6.59","3.52","1.30",".28","1.48","1.98","4.18","8.01","18.24","7.67","11713"
