"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","BOS @ KC",".60","6.88","27.43","5.72","3.72","1.19",".16",".65","1.60","8.36","27.99","45.38","26.14","10603"
"Jacob deGrom","Mets","TB @ NYM",".48","6.85","27.70","5.75","4.08","1.01",".12",".54","2.00","8.05","26.45","43.76","24.72","10954"
"Carlos Carrasco","Indians","OAK @ CLE",".47","6.60","26.89","5.71","3.10","1.46",".09","1.07","1.78","8.09","24.99","41.18","23.32","6632"
"Lance McCullers Jr.","Astros","CWS @ HOU",".49","5.86","23.75","4.82","3.07","1.04",".17",".55","1.83","7.62","24.06","39.00","22.34","14120"
"Freddy Peralta","Brewers","ATL @ MIL",".42","6.16","25.88","5.01","3.20","1.08",".10",".64","2.97","7.76","23.02","39.38","21.68","18679"
"Zack Godley","Diamondbacks","SD @ ARI",".45","6.46","26.95","5.59","3.59","1.22",".21",".58","2.63","7.08","22.09","38.10","20.74","14862"
"Mike Foltynewicz","Braves","ATL @ MIL",".30","5.89","25.46","5.30","3.08","1.09",".09","1.04","2.99","6.97","18.69","33.39","17.68","10811"
"Gio Gonzalez","Nationals","MIA @ WSH",".45","6.34","27.28","6.08","4.09","1.30",".07",".62","2.79","5.86","18.17","33.22","17.18","7448"
"Lance Lynn","Twins","BAL @ MIN",".40","6.10","26.06","5.87","3.83","1.15",".07",".82","2.43","6.04","18.09","32.42","16.97","2520"
"Nick Pivetta","Phillies","PHI @ PIT",".37","6.31","26.62","6.17","4.06","1.23",".16",".73","2.10","5.46","17.52","31.37","16.30","15454"
"Dereck Rodriguez","Giants","STL @ SF",".36","6.29","26.35","6.24","4.01","1.30",".17",".75","1.84","5.38","17.43","31.00","16.12","14509"
"Felix Hernandez","Mariners","COL @ SEA",".36","5.63","23.51","5.32","3.32","1.07",".08",".85","1.79","5.63","17.45","29.89","16.08","4772"
"Trevor Williams","Pirates","PHI @ PIT",".35","6.16","25.78","5.72","3.74","1.20",".12",".67","2.16","4.87","16.61","29.57","15.25","16977"
"Sonny Gray","Yankees","NYY @ TOR",".44","5.77","24.63","5.41","3.12","1.35",".09",".85","2.44","5.18","16.12","28.95","14.98","12768"
"John Gant","Cardinals","STL @ SF",".38","6.13","26.09","6.00","3.88","1.29",".26",".58","2.27","4.73","15.72","28.84","14.57","13684"
"Tyler Mahle","Reds","CIN @ CHC",".30","5.87","25.27","5.70","3.60","1.15",".15",".80","2.49","5.01","15.03","27.81","14.00","16358"
"Mike Montgomery","Cubs","CIN @ CHC",".40","5.90","24.69","5.17","3.59",".96",".12",".50","2.39","4.14","15.53","27.56","14.17","4869"
"Dylan Bundy","Orioles","BAL @ MIN",".32","5.75","24.90","5.96","3.43","1.36",".18","1.00","2.19","5.37","14.97","27.67","13.97","12917"
"Felix Pena","Angels","LAD @ LAA",".25","5.44","23.99","5.37","2.79",".98",".07","1.53","2.74","6.03","14.54","27.11","13.73","13403"
"German Marquez","Rockies","COL @ SEA",".32","5.70","24.49","5.94","3.88","1.08",".12",".85","2.06","4.88","14.48","26.77","13.44","15038"
"Dan Straily","Marlins","MIA @ WSH",".27","5.93","26.30","6.08","3.53","1.25",".11","1.19","3.04","5.40","13.62","26.89","12.98","9460"
"Kenta Maeda","Dodgers","LAD @ LAA",".38","5.10","21.78","4.79","2.94",".85",".07",".93","2.14","4.88","14.65","25.57","13.59","18498"
"Joey Lucchesi","Padres","SD @ ARI",".26","5.26","22.99","5.10","3.04","1.11",".21",".74","2.69","5.02","13.57","25.20","12.75","19320"
"Jordan Zimmermann","Tigers","TEX @ DET",".29","5.41","23.26","5.88","3.61","1.13",".17",".98","1.67","4.37","12.72","23.59","11.70","4505"
"Sam Gaviglio","Blue Jays","NYY @ TOR",".25","5.47","23.66","5.69","3.04","1.33",".09","1.23","2.01","4.45","12.25","23.08","11.24","12778"
"Bartolo Colon","Rangers","TEX @ DET",".41","5.96","25.13","7.00","4.47","1.45",".31",".77",".84","3.30","12.27","23.06","11.03","375"
"Reynaldo Lopez","White Sox","CWS @ HOU",".21","5.84","25.79","6.30","3.90","1.39",".14",".86","2.64","3.87","10.58","22.18","9.90","16400"
"Jason Hammel","Royals","BOS @ KC",".18","5.91","25.97","7.15","4.63","1.51",".14",".87","1.78","3.66","9.96","21.10","9.19","4538"
"Paul Blackburn","Athletics","OAK @ CLE",".26","5.70","25.32","6.44","3.84","1.62",".10",".87","2.39","3.44","9.53","20.53","8.88","14739"
