,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,1160.1,3.39,4813.0,1073.0,246.0,17.0,483.0,437.0,106.0,372.0,3.0,32.0,1070.0,0.243,0.309,0.384,0.305,8.3,2.89,2.88,0.82,22.2,7.7,14.5,1.25,0.299,74.8,3.5,3.61
1,Total,Away,1144.2,3.59,4760.0,1038.0,180.0,16.0,484.0,457.0,118.0,378.0,5.0,47.0,1067.0,0.239,0.309,0.374,0.302,8.39,2.97,2.82,0.93,22.4,7.9,14.5,1.24,0.292,75.4,3.7,3.71
