"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.A. Happ","Yankees","KC @ NYY",".57","6.89","27.49","5.74","3.92","1.10",".08",".63","1.71","7.63","26.43","43.26","24.57","7410"
"Corey Kluber","Indians","CLE @ DET",".59","6.77","27.20","6.28","4.10","1.28",".25",".65","1.21","7.18","24.59","40.56","22.84","2429"
"Lance McCullers Jr.","Astros","TEX @ HOU",".43","5.96","25.15","4.68","2.96","1.00",".11",".61","3.13","7.39","22.02","37.67","20.73","14120"
"Nathan Eovaldi","Red Sox","MIN @ BOS",".39","6.27","25.57","6.14","3.85","1.33",".13",".82","1.09","6.22","20.50","34.41","18.80","9132"
"Dylan Bundy","Orioles","TB @ BAL",".34","6.23","26.31","6.16","3.96","1.18",".13",".89","2.06","6.48","19.11","33.71","17.86","12917"
"Carlos Rodon","White Sox","TOR @ CWS",".38","5.85","24.72","5.32","3.25","1.12",".08",".87","2.36","6.36","18.94","32.90","17.68","16137"
"Junior Guerra","Brewers","MIL @ SF",".41","6.18","25.63","5.41","3.57","1.22",".15",".48","2.30","5.51","18.93","32.79","17.47","5702"
"Ross Stripling","Dodgers","LAD @ ATL",".43","6.17","25.68","6.43","4.27","1.40",".17",".59","1.31","5.64","18.67","32.48","17.23","13273"
"Luis Castillo","Reds","PHI @ CIN",".35","6.01","25.45","5.99","3.66","1.22",".10","1.01","1.93","6.24","18.13","31.97","16.87","15689"
"Joe Musgrove","Pirates","NYM @ PIT",".39","6.34","26.03","5.83","3.96","1.17",".13",".57","1.73","5.02","18.31","31.59","16.73","12970"
"Jose Berrios","Twins","MIN @ BOS",".34","6.13","25.96","6.01","3.72","1.39",".13",".77","2.14","5.88","17.73","31.65","16.54","14168"
"Kyle Hendricks","Cubs","CHC @ STL",".42","6.39","26.68","6.30","4.32","1.15",".09",".74","1.80","5.21","17.84","31.56","16.51","12049"
"Yonny Chirinos","Rays","TB @ BAL",".38","5.87","24.47","5.85","3.71","1.10",".07",".97","1.46","5.41","17.30","29.90","15.87","16401"
"John Gant","Cardinals","CHC @ STL",".30","5.81","24.93","5.75","3.80","1.14",".10",".70","2.30","5.48","16.30","29.51","15.19","13684"
"Jeremy Hellickson","Nationals","WSH @ MIA",".45","6.20","25.74","6.09","3.92","1.31",".18",".68","1.57","4.59","16.65","29.30","15.19","4371"
"Clay Buchholz","Diamondbacks","ARI @ SD",".39","5.96","25.12","5.55","3.64","1.03",".15",".73","2.34","5.02","16.31","29.23","15.07","3543"
"Zack Wheeler","Mets","NYM @ PIT",".33","5.94","24.96","5.75","3.95","1.06",".12",".63","2.03","4.92","16.15","28.83","14.88","10310"
"Andrew Suarez","Giants","MIL @ SF",".32","6.12","25.50","6.23","4.34","1.22",".15",".51","1.56","4.62","16.10","28.71","14.71","18300"
"Sean Newcomb","Braves","LAD @ ATL",".29","5.81","25.78","5.39","3.45","1.14",".12",".67","3.63","5.48","14.73","28.59","14.06","16943"
"Joey Lucchesi","Padres","ARI @ SD",".28","5.43","23.25","5.03","3.09","1.00",".15",".80","2.47","5.45","15.60","27.75","14.53","19320"
"Felix Pena","Angels","SEA @ LAA",".30","5.51","24.09","6.04","3.87","1.02",".10","1.06","2.12","5.11","13.61","25.80","12.77","13403"
"Mike Minor","Rangers","TEX @ HOU",".27","5.84","25.00","6.01","3.47","1.39",".11","1.04","1.97","4.68","13.84","25.63","12.75","10021"
"German Marquez","Rockies","OAK @ COL",".32","5.43","24.24","5.95","3.40","1.31",".17","1.07","2.52","5.36","13.16","25.59","12.50","15038"
"Zach Eflin","Phillies","PHI @ CIN",".36","5.77","24.86","6.39","4.18","1.29",".11",".81","1.78","4.42","13.49","25.49","12.50","13774"
"Jose Urena","Marlins","WSH @ MIA",".28","5.90","25.66","5.98","3.91","1.11",".14",".82","2.59","4.43","13.17","25.53","12.25","11589"
"Ryan Borucki","Blue Jays","TOR @ CWS",".31","5.55","24.36","6.20","4.02","1.22",".18",".78","2.15","4.75","12.95","25.06","12.18","16350"
"Burch Smith","Royals","KC @ NYY",".18","5.33","23.79","5.57","3.50","1.06",".08",".93","2.80","5.03","12.29","24.22","11.68","12784"
"Marco Gonzales","Mariners","SEA @ LAA",".35","5.30","23.05","5.86","3.80","1.09",".07",".90","1.83","3.58","10.95","21.17","10.06","15467"
"Frankie Montas","Athletics","OAK @ COL",".31","5.14","23.30","6.33","3.56","1.38",".24","1.16","2.06","4.26","9.74","20.53","9.27","14309"
"Jordan Zimmermann","Tigers","CLE @ DET",".18","5.31","23.23","6.33","3.80","1.36",".16","1.01","1.50","3.19","8.76","18.14","7.93","4505"
