Date and Time (ET),Amount,Description,Transaction ID
2018-06-12 03:47:58,$3.60,Payout for $2 MLB 50/50 entry,101344
2018-06-12 03:47:55,$1.80,Payout for $1 MLB 50/50 entry,101321
2018-06-11 18:36:38,$5.00,Refund for $5 MLB 50/50 entry,101237
2018-06-11 18:09:04,-$5.00,Contest Buyin for $5 MLB 50/50 entry,101220
2018-06-11 18:08:52,-$2.00,Contest Buyin for $2 MLB 50/50 entry,101219
2018-06-11 18:08:47,-$1.00,Contest Buyin for $1 MLB 50/50 entry,101218
2018-06-11 18:08:45,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,101217
2018-06-10 23:13:07,$1.80,Payout for $1 MLB 50/50 entry,101135
2018-06-10 23:13:06,$3.60,Payout for $2 MLB 50/50 entry,101129
2018-06-10 23:13:05,$1.80,Payout for $1 Beginner MLB 50/50 entry,101115
2018-06-10 13:03:26,-$2.00,Contest Buyin for $2 MLB 50/50 entry,101055
2018-06-10 13:03:22,-$1.00,Contest Buyin for $1 MLB 50/50 entry,101054
2018-06-10 13:03:16,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,101052
2018-06-10 00:27:51,$1.80,Payout for $1 Beginner MLB 50/50 entry,100970
2018-06-10 00:27:51,$9.00,Payout for $5 MLB 50/50 entry,100968
2018-06-10 00:27:49,$3.60,Payout for $2 MLB 50/50 entry,100957
2018-06-10 00:27:44,$1.80,Payout for $1 MLB 50/50 entry,100911
2018-06-09 18:43:17,-$5.00,Contest Buyin for $5 MLB 50/50 entry,100840
2018-06-09 18:43:11,-$2.00,Contest Buyin for $2 MLB 50/50 entry,100839
2018-06-09 18:43:07,-$1.00,Contest Buyin for $1 MLB 50/50 entry,100838
2018-06-09 18:43:04,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100837
2018-06-09 01:38:05,$1.80,Payout for $1 MLB 50/50 entry,100784
2018-06-09 01:38:03,$1.80,Payout for $1 Beginner MLB 50/50 entry,100766
2018-06-09 01:38:02,$3.60,Payout for $2 MLB 50/50 entry,100762
2018-06-09 01:38:00,$9.00,Payout for $5 MLB 50/50 entry,100751
2018-06-08 18:45:03,-$5.00,Contest Buyin for $5 MLB 50/50 entry,100698
2018-06-08 18:40:54,-$1.00,Contest Buyin for $1 MLB 50/50 entry,100696
2018-06-08 18:40:43,-$2.00,Contest Buyin for $2 MLB 50/50 entry,100694
