,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,21.0,79.0,82.0,20.0,19.0,0.0,0.0,1.0,6.0,10.0,2.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,2.0,0.253,2.4,22.0,0.11,0.268,0.291,0.559,0.038,0.311,5.0,-5.2,0.249,47.0
1,Total,Away,19.0,70.0,82.0,17.0,10.0,4.0,0.0,3.0,12.0,12.0,10.0,0.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,0.243,12.2,28.0,0.43,0.333,0.429,0.762,0.186,0.311,10.0,0.5,0.334,103.0
