,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,147.0,384.0,422.0,90.0,57.0,18.0,0.0,15.0,53.0,52.0,27.0,0.0,100.0,5.0,2.0,4.0,9.0,5.0,7.0,0.234,6.4,23.7,0.27,0.292,0.398,0.69,0.164,0.277,42.0,-9.9,0.302,71.0
1,Total,Away,142.0,415.0,461.0,91.0,54.0,29.0,1.0,7.0,55.0,28.0,38.0,2.0,108.0,3.0,2.0,3.0,6.0,8.0,7.0,0.219,8.2,23.4,0.35,0.288,0.345,0.633,0.125,0.278,37.0,-19.4,0.28,64.0
