,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,26.0,45.0,49.0,7.0,5.0,1.0,0.0,1.0,5.0,2.0,4.0,1.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.156,8.2,30.6,0.27,0.224,0.244,0.469,0.089,0.207,1.0,-4.8,0.202,29.0
1,Total,Away,22.0,37.0,41.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,9.8,26.8,0.36,0.195,0.162,0.357,0.054,0.154,0.0,-5.2,0.17,-4.0
