,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,114.0,240.0,264.0,53.0,32.0,12.0,2.0,7.0,31.0,34.0,13.0,1.0,49.0,5.0,3.0,3.0,5.0,2.0,1.0,0.221,4.9,18.6,0.27,0.272,0.375,0.647,0.154,0.246,22.0,-10.1,0.28,66.0
1,Total,Away,122.0,271.0,300.0,61.0,36.0,20.0,1.0,4.0,33.0,21.0,20.0,4.0,66.0,4.0,1.0,4.0,8.0,3.0,1.0,0.225,6.7,22.0,0.3,0.287,0.351,0.638,0.125,0.282,24.0,-12.5,0.277,64.0
