,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,146.0,348.0,395.0,93.0,59.0,24.0,1.0,9.0,57.0,36.0,38.0,1.0,99.0,2.0,3.0,4.0,2.0,15.0,1.0,0.267,9.6,25.1,0.38,0.34,0.42,0.76,0.152,0.346,50.0,4.6,0.335,102.0
1,Total,Away,149.0,373.0,425.0,92.0,67.0,11.0,6.0,8.0,48.0,30.0,45.0,0.0,132.0,2.0,1.0,4.0,6.0,20.0,6.0,0.247,10.6,31.1,0.34,0.33,0.373,0.703,0.126,0.359,47.0,-2.1,0.315,92.0
