,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,99.0,143.0,165.0,36.0,30.0,5.0,0.0,1.0,16.0,12.0,14.0,4.0,31.0,1.0,0.0,7.0,0.0,1.0,2.0,0.252,8.5,18.8,0.45,0.323,0.308,0.63,0.056,0.315,13.0,-6.7,0.278,69.0
1,Total,Away,103.0,183.0,204.0,39.0,27.0,10.0,0.0,2.0,21.0,12.0,13.0,3.0,36.0,1.0,1.0,6.0,4.0,4.0,1.0,0.213,6.4,17.6,0.36,0.268,0.301,0.568,0.087,0.253,11.0,-13.5,0.248,44.0
