,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,8.0,13.0,14.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,7.1,35.7,0.2,0.286,0.385,0.67,0.154,0.375,1.0,-0.5,0.292,87.0
1,Total,Away,11.0,18.0,23.0,3.0,2.0,0.0,0.0,1.0,3.0,5.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.167,17.4,17.4,1.0,0.304,0.333,0.638,0.167,0.143,2.0,-0.8,0.289,75.0
