,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,110.0,215.0,240.0,63.0,35.0,9.0,0.0,19.0,32.0,43.0,20.0,0.0,64.0,2.0,1.0,2.0,5.0,2.0,2.0,0.293,8.3,26.7,0.31,0.357,0.6,0.957,0.307,0.331,44.0,15.2,0.406,146.0
3,Total,vs R as R,189.0,498.0,556.0,104.0,70.0,16.0,3.0,15.0,41.0,64.0,49.0,0.0,171.0,1.0,2.0,6.0,12.0,1.0,0.0,0.209,8.8,30.8,0.29,0.28,0.343,0.623,0.135,0.283,44.0,-23.7,0.278,60.0
4,Total,vs L,113.0,215.0,240.0,63.0,35.0,9.0,0.0,19.0,37.0,43.0,20.0,0.0,64.0,2.0,1.0,2.0,5.0,2.0,2.0,0.293,8.3,26.7,0.31,0.357,0.6,0.957,0.307,0.331,44.0,15.2,0.406,146.0
5,Total,vs R,190.0,498.0,556.0,104.0,70.0,16.0,3.0,15.0,58.0,64.0,49.0,0.0,171.0,1.0,2.0,6.0,12.0,1.0,2.0,0.209,8.8,30.8,0.29,0.28,0.343,0.623,0.135,0.283,44.0,-23.7,0.278,60.0
