,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,614.0,2171.0,2447.0,555.0,362.0,124.0,6.0,63.0,294.0,257.0,214.0,13.0,499.0,33.0,17.0,12.0,48.0,16.0,18.0,0.256,8.7,20.4,0.43,0.329,0.405,0.735,0.15,0.303,286.0,-10.3,0.322,99.0
1,Total,Away,602.0,2237.0,2541.0,609.0,360.0,135.0,12.0,102.0,340.0,353.0,222.0,23.0,512.0,38.0,29.0,15.0,57.0,17.0,19.0,0.272,8.7,20.1,0.43,0.344,0.48,0.824,0.208,0.307,361.0,54.2,0.353,114.0
