,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Away,11.0,23.0,26.0,4.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.174,7.7,34.6,0.22,0.231,0.304,0.535,0.13,0.214,1.0,-2.1,0.233,38.0
1,Total,Home vs L,4.0,8.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,11.1,22.2,0.5,0.333,0.25,0.583,0.0,0.333,1.0,-0.4,0.277,61.0
