,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,394.0,765.0,862.0,191.0,121.0,54.0,2.0,14.0,88.0,73.0,75.0,3.0,152.0,5.0,7.0,10.0,18.0,2.0,1.0,0.25,8.7,17.6,0.49,0.318,0.38,0.698,0.131,0.292,91.0,-10.8,0.308,84.0
3,Total,vs R as R,667.0,1687.0,1872.0,406.0,292.0,83.0,7.0,24.0,114.0,165.0,118.0,5.0,342.0,27.0,15.0,25.0,40.0,10.0,3.0,0.241,6.3,18.3,0.35,0.298,0.341,0.639,0.1,0.286,159.0,-63.6,0.284,68.0
4,Total,vs L,398.0,765.0,862.0,191.0,121.0,54.0,2.0,14.0,109.0,73.0,75.0,3.0,152.0,5.0,7.0,10.0,18.0,3.0,4.0,0.25,8.7,17.6,0.49,0.318,0.38,0.698,0.131,0.292,91.0,-10.8,0.308,84.0
5,Total,vs R,669.0,1687.0,1872.0,406.0,292.0,83.0,7.0,24.0,205.0,165.0,118.0,5.0,342.0,27.0,15.0,25.0,40.0,18.0,7.0,0.241,6.3,18.3,0.35,0.298,0.341,0.639,0.1,0.286,159.0,-63.6,0.284,68.0
