,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,49.0,97.0,102.0,26.0,19.0,5.0,0.0,2.0,13.0,15.0,2.0,0.0,20.0,2.0,1.0,0.0,1.0,0.0,0.0,0.268,2.0,19.6,0.1,0.294,0.381,0.676,0.113,0.316,10.0,-1.8,0.295,61.0
1,Total,Away,41.0,97.0,100.0,13.0,9.0,2.0,0.0,2.0,10.0,4.0,2.0,0.0,23.0,1.0,0.0,0.0,3.0,0.0,0.0,0.134,2.0,23.0,0.09,0.16,0.216,0.376,0.082,0.153,0.0,-11.8,0.168,-3.0
