,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,60.0,136.0,149.0,33.0,25.0,4.0,0.0,4.0,16.0,19.0,11.0,3.0,26.0,1.0,1.0,0.0,4.0,0.0,0.0,0.243,7.4,17.4,0.42,0.302,0.36,0.662,0.118,0.271,13.0,-5.1,0.286,76.0
1,Total,Away,57.0,137.0,144.0,36.0,26.0,7.0,0.0,3.0,9.0,13.0,5.0,0.0,16.0,0.0,1.0,1.0,11.0,0.0,0.0,0.263,3.5,11.1,0.31,0.287,0.38,0.666,0.117,0.277,13.0,-4.4,0.29,72.0
