,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,41.0,85.0,89.0,17.0,13.0,1.0,0.0,3.0,10.0,11.0,2.0,0.0,24.0,0.0,2.0,0.0,0.0,5.0,0.0,0.2,2.2,27.0,0.08,0.213,0.318,0.531,0.118,0.233,4.0,-6.6,0.229,39.0
1,Total,Away,34.0,92.0,98.0,25.0,20.0,2.0,0.0,3.0,6.0,10.0,3.0,0.0,28.0,1.0,2.0,0.0,0.0,2.0,0.0,0.272,3.1,28.6,0.11,0.296,0.391,0.687,0.12,0.349,10.0,-1.5,0.299,85.0
