,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,36.0,53.0,60.0,8.0,6.0,1.0,0.0,1.0,4.0,4.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,11.7,36.7,0.32,0.25,0.226,0.476,0.075,0.233,2.0,-5.0,0.226,33.0
3,Total,vs R as R,89.0,216.0,239.0,45.0,23.0,14.0,1.0,7.0,18.0,16.0,17.0,0.0,72.0,1.0,1.0,4.0,1.0,6.0,5.0,0.208,7.1,30.1,0.24,0.268,0.38,0.648,0.171,0.275,20.0,-8.5,0.283,69.0
4,Total,vs L,36.0,53.0,60.0,8.0,6.0,1.0,0.0,1.0,6.0,4.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,11.7,36.7,0.32,0.25,0.226,0.476,0.075,0.233,2.0,-5.0,0.226,33.0
5,Total,vs R,89.0,216.0,239.0,45.0,23.0,14.0,1.0,7.0,21.0,16.0,17.0,0.0,72.0,1.0,1.0,4.0,1.0,7.0,5.0,0.208,7.1,30.1,0.24,0.268,0.38,0.648,0.171,0.275,20.0,-8.5,0.283,69.0
