,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Away,12.0,36.0,40.0,6.0,5.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,10.0,32.5,0.31,0.25,0.194,0.444,0.028,0.261,1.0,-3.8,0.21,22.0
1,Total,Home vs L,2.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,1.0,1.4,0.6,0.25,2.0,1.1,0.571,267.0
