,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,140.0,170.0,187.0,43.0,30.0,10.0,1.0,2.0,3.0,19.0,13.0,0.0,50.0,0.0,1.0,3.0,4.0,1.0,1.0,0.253,7.0,26.7,0.26,0.304,0.359,0.663,0.106,0.345,17.0,-5.3,0.293,69.0
1,Total,vs R as L,461.0,1162.0,1275.0,313.0,186.0,81.0,8.0,38.0,79.0,160.0,99.0,13.0,247.0,3.0,7.0,4.0,16.0,1.0,4.0,0.269,7.8,19.4,0.4,0.327,0.451,0.777,0.182,0.311,161.0,5.4,0.333,95.0
2,Total,vs L as R,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
3,Total,vs R as R,113.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-100.0
4,Total,vs L,143.0,170.0,187.0,43.0,30.0,10.0,1.0,2.0,10.0,19.0,13.0,0.0,50.0,0.0,1.0,3.0,4.0,3.0,4.0,0.253,7.0,26.7,0.26,0.304,0.359,0.663,0.106,0.345,17.0,-5.3,0.293,69.0
5,Total,vs R,463.0,1163.0,1277.0,313.0,186.0,81.0,8.0,38.0,158.0,161.0,99.0,13.0,247.0,3.0,8.0,4.0,16.0,12.0,15.0,0.269,7.8,19.3,0.4,0.326,0.451,0.777,0.181,0.31,160.0,4.9,0.332,95.0
