,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,133.0,439.0,497.0,117.0,64.0,32.0,5.0,16.0,75.0,61.0,48.0,4.0,52.0,7.0,3.0,0.0,8.0,8.0,5.0,0.267,9.7,10.5,0.92,0.346,0.472,0.818,0.205,0.27,70.0,9.8,0.351,111.0
1,Total,Away,133.0,454.0,507.0,130.0,72.0,31.0,4.0,23.0,73.0,66.0,37.0,7.0,53.0,13.0,3.0,0.0,10.0,8.0,4.0,0.286,7.3,10.5,0.7,0.355,0.524,0.879,0.238,0.281,81.0,19.0,0.372,128.0
