,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,318.0,847.0,955.0,209.0,153.0,31.0,4.0,21.0,86.0,104.0,87.0,10.0,115.0,8.0,9.0,4.0,17.0,1.0,2.0,0.247,9.1,12.0,0.76,0.32,0.367,0.687,0.12,0.261,95.0,-21.2,0.302,85.0
1,Total,Away,299.0,899.0,994.0,237.0,157.0,56.0,4.0,20.0,109.0,120.0,78.0,4.0,157.0,9.0,8.0,0.0,28.0,1.0,3.0,0.264,7.8,15.8,0.5,0.326,0.402,0.728,0.138,0.297,113.0,-7.9,0.318,90.0
