,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,117.0,262.0,280.0,52.0,38.0,7.0,6.0,1.0,23.0,17.0,10.0,1.0,84.0,0.0,0.0,8.0,2.0,5.0,3.0,0.198,3.6,30.0,0.12,0.228,0.282,0.51,0.084,0.288,9.0,-25.4,0.223,25.0
1,Total,Away,139.0,313.0,337.0,70.0,42.0,8.0,4.0,16.0,42.0,43.0,13.0,0.0,96.0,5.0,2.0,4.0,2.0,4.0,1.0,0.224,3.9,28.5,0.14,0.264,0.428,0.692,0.204,0.266,32.0,-9.2,0.296,76.0
